x1_min,x1_max,x2_min,x2_max,y_min,y_max
22.8600,29.2100,3.1751,4.5359,12.0000,15.0000
63.5000,68.5800,22.6796,27.2155,12.0000,15.0000
58.4200,58.4200,22.6796,31.7515,11.0000,14.0000
60.9600,71.1200,31.7515,58.9670,10.0000,13.0000
58.4200,63.5000,34.0194,38.5554,10.0000,14.0000
50.8000,63.5000,27.2155,45.3592,10.0000,12.0000
58.4200,66.0400,20.4117,29.4835,11.0000,12.0000
22.8600,48.2600,2.7216,15.8757,13.0000,15.0000
53.3400,63.5000,27.2155,31.7515,11.0000,13.0000
30.4800,40.6400,5.4431,7.2575,14.0000,16.0000
53.3400,68.5800,20.4117,31.7515,12.0000,15.0000
43.1800,48.2600,18.1437,31.7515,12.0000,16.0000
38.1000,45.7200,11.3398,20.4117,10.0000,14.0000
68.5800,73.6600,36.2874,68.0389,11.0000,13.0000
48.2600,55.8800,21.7724,31.7515,12.0000,15.0000
43.1800,50.8000,15.8757,22.6796,12.0000,16.0000
43.1800,50.8000,0.0000,0.0000,10.0000,13.0000
45.7200,58.4200,18.1437,29.4835,12.0000,15.0000
43.1800,50.8000,14.5150,20.4117,12.0000,15.0000
25.4000,27.9400,6.8039,9.0718,11.0000,15.0000
59.6900,73.6600,14.9685,24.9476,12.0000,15.0000
48.2600,62.2300,15.8757,29.4835,12.0000,14.0000
40.6400,43.1800,9.9790,10.8862,13.0000,14.0000
31.7500,39.3700,12.2470,15.8757,12.0000,12.0000
38.1000,38.1000,18.1437,29.4835,12.0000,13.0000
43.1800,52.0700,16.7829,29.9371,12.0000,15.0000
33.0200,38.1000,5.8967,13.6078,10.0000,15.0000
50.8000,55.8800,20.4117,24.9476,12.0000,14.0000
60.9600,69.8500,31.7515,49.8952,10.0000,12.0000
38.1000,44.4500,7.7111,10.4326,11.0000,16.0000
55.8800,66.0400,24.9476,29.4835,10.0000,12.0000
55.8800,66.0400,18.1437,36.2874,14.0000,16.0000
55.8800,66.0400,20.4117,34.0194,12.0000,14.0000
55.8800,66.0400,20.4117,34.0194,12.0000,14.0000
55.8800,59.6900,25.8548,38.1018,13.0000,15.0000
54.6100,64.7700,22.6796,31.7515,12.0000,13.0000
58.4200,69.8500,31.7515,52.1631,7.0000,10.0000
24.1300,29.2100,5.4431,8.1647,14.0000,15.0000
17.7800,27.9400,1.8144,3.6287,16.0000,16.0000
58.4200,68.5800,29.4835,49.8952,10.0000,12.0000
66.0400,76.2000,36.2874,58.9670,10.0000,12.0000
58.4200,68.5800,36.2874,49.8952,10.0000,12.0000
53.3400,68.5800,20.4117,36.2874,11.0000,12.0000
