x1_min,x1_max,x2_min,x2_max,x3_min,x3_max,x4_min,x4_max,x5_min,x5_max,x6_min,x6_max,x7_min,x7_max,x8_min,x8_max,x9_min,x9_max,x10_min,x10_max,x11_min,x11_max,x12_min,x12_max,x13_min,x13_max,x14_min,x14_max,x15_min,x15_max,x16_min,x16_max,x17_min,x17_max,x18_min,x18_max,x19_min,x19_max,x20_min,x20_max,x21_min,x21_max,x22_min,x22_max,x23_min,x23_max,x24_min,x24_max,x25_min,x25_max,x26_min,x26_max,x27_min,x27_max,x28_min,x28_max,x29_min,x29_max,x30_min,x30_max,x31_min,x31_max,x32_min,x32_max,y_min,y_max
0,38,0,305,0,17,0,4,0,145,0,6025,0,175,0,3625,0,12275,0,375,0,6,0,25,0,4525,0,95,0,3,0,35,0,35,0,56.667,0,7,0,4525,0,10,0,8175,0,8325,0,5,0,35,0,2,0,325,0,125,0,9325,0,4375,0,235,0,11025,0,165
0,25,5,475,0,3,0,0,0,0,0,15,0,0,0,25,5,825,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,5,0,15,0,125,13.333,1075,13.333,1075,0,0,0,0,0,0,0,0,0,0,0,75,0,15,0,15,0,225,0,0
0,25,175,35,0,0,0,0,0,5,0,25,0,0,0,725,425,1075,75,125,0,25,0,0,0,0,0,175,75,2,0,25,0,0,0,0,25,25,1,3,1,225,625,1275,625,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,75,0,1,0,0
0,75,25,85,0,4,0,0,0,25,0,275,0,0,0,425,75,1075,0,75,0,1,0,0,0,25,0,75,0,175,0,75,0,0,0,0,0,5,0,15,0,2,0,105,0,105,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,275,0,3,0,0
0,3333,15,45,0,425,0,0,0,75,0,6,0,75,0,65,175,2075,0,25,0,5,0,0,0,0,0,125,0,1,0,25,0,0,0,0,0,125,0,175,0,25,0,125,0,125,0,0,0,0,0,0,0,0,0,0,0,325,0,5,0,4,0,8,0,0
0,1,0,75,0,75,0,3333,0,25,0,12,0,3333,0,3,0,143.333,0,0,0,3333,0,0,0,5,0,25,0,0,0,6667,0,0,0,23.333,0,25,0,5,0,23.333,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,56.667,0,125,0,73.333,0,133.333,0,0
0,175,0,5,0,5,0,0,0,75,0,425,0,3333,0,275,0,8,0,0,0,2,0,75,0,15,0,25,0,0,0,25,0,25,0,0,0,25,0,4,0,25,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,125,0,25,0,375,0,0
0,575,25,125,0,155,0,75,0,675,0,5,0,0,0,345,6667,715,0,2,0,525,0,75,0,225,0,25,0,2,0,13.333,0,0,0,0,0,0,0,975,0,25,25,2825,25,2825,0,0,0,0,0,0,0,1,0,0,0,175,0,1125,0,2,0,1125,0,0
0,325,0,25,0,8,0,75,0,375,0,45,0,0,0,3,0,175,0,75,0,225,0,3,0,225,0,5,0,275,0,15,0,275,0,0,0,25,0,35,0,3,0,155,0,155,0,0,0,5,0,0,0,0,0,0,0,425,0,3,0,35,0,6,0,0
0,4,0,45,0,15,0,75,0,8,3333,1425,0,0,0,125,6667,315,0,0,0,1,0,325,0,375,0,275,0,75,0,5,0,0,0,0,0,0,0,1075,0,75,3333,1975,16.667,21,0,0,0,0,0,0,0,0,0,0,0,1,0,55,0,375,0,1025,0,13.333
