,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,dry_climates,3,32,522,ivabc,5,0,0.9056603773584906,705.588457107544
1,dry_climates,3,32,522,ivabc,5,1,0.9433962264150944,362.44679832458496
2,dry_climates,3,32,522,ivabc,5,2,0.9245283018867925,267.52898359298706
3,dry_climates,3,32,522,ivabc,5,3,0.9056603773584906,405.1174912452698
4,dry_climates,3,32,522,ivabc,5,4,0.9245283018867925,427.0830788612366
5,dry_climates,3,32,522,ivabc,5,5,0.9038461538461539,827.0651071071625
6,dry_climates,3,32,522,ivabc,5,6,0.9615384615384616,298.7160668373108
7,dry_climates,3,32,522,ivabc,5,7,0.9807692307692307,324.82856822013855
8,dry_climates,3,32,522,ivabc,5,8,0.9607843137254902,297.90858006477356
9,dry_climates,3,32,522,ivabc,5,9,0.92,576.0267293453217
