,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,dry-climates,3,32,522,wflvq,2,0,0.7924528301886793,172.2536163330078
1,dry-climates,3,32,522,wflvq,2,1,0.8867924528301887,139.03604388237
2,dry-climates,3,32,522,wflvq,2,2,0.7735849056603774,138.7570765018463
3,dry-climates,3,32,522,wflvq,2,3,0.8679245283018868,56.04672169685364
4,dry-climates,3,32,522,wflvq,2,4,0.8679245283018868,111.6918957233429
5,dry-climates,3,32,522,wflvq,2,5,0.75,126.09209537506104
6,dry-climates,3,32,522,wflvq,2,6,0.8846153846153846,75.54396295547485
7,dry-climates,3,32,522,wflvq,2,7,0.6346153846153846,225.2225217819214
8,dry-climates,3,32,522,wflvq,2,8,0.9215686274509803,86.37965798377991
9,dry-climates,3,32,522,wflvq,2,9,0.84,80.76664209365845
