,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,european-climates,2,32,324,wflvq,7,0,0.9393939393939394,32.9985568523407
1,european-climates,2,32,324,wflvq,7,1,0.9090909090909091,49.36555457115173
2,european-climates,2,32,324,wflvq,7,2,0.9393939393939394,33.56118130683899
3,european-climates,2,32,324,wflvq,7,3,0.9393939393939394,24.77534794807434
4,european-climates,2,32,324,wflvq,7,4,0.9393939393939394,32.61960697174072
5,european-climates,2,32,324,wflvq,7,5,0.8787878787878788,16.123699188232422
6,european-climates,2,32,324,wflvq,7,6,0.96875,16.18430781364441
7,european-climates,2,32,324,wflvq,7,7,0.84375,68.1219973564148
8,european-climates,2,32,324,wflvq,7,8,0.967741935483871,10.365688562393188
9,european-climates,2,32,324,wflvq,7,9,0.8709677419354839,15.714094400405884
