,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,dry_climates,3,32,522,wflvq,0,0,0.8679245283018868,196.68970799446106
1,dry_climates,3,32,522,wflvq,0,1,0.8113207547169812,222.18526220321655
2,dry_climates,3,32,522,wflvq,0,2,0.8301886792452831,147.67178654670715
3,dry_climates,3,32,522,wflvq,0,3,0.9056603773584906,56.62018084526062
4,dry_climates,3,32,522,wflvq,0,4,0.8867924528301887,98.05047011375427
5,dry_climates,3,32,522,wflvq,0,5,0.7884615384615384,181.35346245765686
6,dry_climates,3,32,522,wflvq,0,6,0.8653846153846154,98.51532077789307
7,dry_climates,3,32,522,wflvq,0,7,1.0,192.01823019981384
8,dry_climates,3,32,522,wflvq,0,8,0.7647058823529411,134.67362070083618
9,dry_climates,3,32,522,wflvq,0,9,0.78,33.367810010910034
0,dry_climates,3,32,522,wflvq,1,0,0.7169811320754716,128.7001883983612
1,dry_climates,3,32,522,wflvq,1,1,0.8867924528301887,33.056843280792236
2,dry_climates,3,32,522,wflvq,1,2,0.9245283018867925,124.07253408432007
3,dry_climates,3,32,522,wflvq,1,3,0.7924528301886793,58.20179891586304
4,dry_climates,3,32,522,wflvq,1,4,0.6792452830188679,65.29309153556824
5,dry_climates,3,32,522,wflvq,1,5,0.8461538461538461,73.47498989105225
6,dry_climates,3,32,522,wflvq,1,6,0.75,72.30843615531921
7,dry_climates,3,32,522,wflvq,1,7,0.9230769230769231,124.98554253578186
8,dry_climates,3,32,522,wflvq,1,8,0.9019607843137255,109.46758008003235
9,dry_climates,3,32,522,wflvq,1,9,0.84,175.76567006111145
0,dry_climates,3,32,522,wflvq,2,0,0.7924528301886793,172.2536163330078
1,dry_climates,3,32,522,wflvq,2,1,0.8867924528301887,139.03604388237
2,dry_climates,3,32,522,wflvq,2,2,0.7735849056603774,138.7570765018463
3,dry_climates,3,32,522,wflvq,2,3,0.8679245283018868,56.04672169685364
4,dry_climates,3,32,522,wflvq,2,4,0.8679245283018868,111.6918957233429
5,dry_climates,3,32,522,wflvq,2,5,0.75,126.09209537506104
6,dry_climates,3,32,522,wflvq,2,6,0.8846153846153846,75.54396295547485
7,dry_climates,3,32,522,wflvq,2,7,0.6346153846153846,225.2225217819214
8,dry_climates,3,32,522,wflvq,2,8,0.9215686274509803,86.37965798377991
9,dry_climates,3,32,522,wflvq,2,9,0.84,80.76664209365845
0,dry_climates,3,32,522,wflvq,3,0,0.9433962264150944,129.99292588233948
1,dry_climates,3,32,522,wflvq,3,1,0.9056603773584906,56.15569257736206
2,dry_climates,3,32,522,wflvq,3,2,0.6792452830188679,221.97579193115234
3,dry_climates,3,32,522,wflvq,3,3,0.8490566037735849,55.77092909812927
4,dry_climates,3,32,522,wflvq,3,4,0.7547169811320755,161.92379760742188
5,dry_climates,3,32,522,wflvq,3,5,0.7307692307692307,173.93772745132446
6,dry_climates,3,32,522,wflvq,3,6,0.8461538461538461,50.49180030822754
7,dry_climates,3,32,522,wflvq,3,7,0.75,167.25465488433838
8,dry_climates,3,32,522,wflvq,3,8,0.7450980392156863,182.47725129127502
9,dry_climates,3,32,522,wflvq,3,9,0.82,56.004833936691284
0,dry_climates,3,32,522,wflvq,4,0,0.8301886792452831,108.25720119476318
1,dry_climates,3,32,522,wflvq,4,1,0.7358490566037735,122.19138979911804
2,dry_climates,3,32,522,wflvq,4,2,0.8490566037735849,40.94288778305054
3,dry_climates,3,32,522,wflvq,4,3,0.8301886792452831,73.11309909820557
4,dry_climates,3,32,522,wflvq,4,4,0.8490566037735849,49.16306781768799
5,dry_climates,3,32,522,wflvq,4,5,0.9230769230769231,32.33313608169556
6,dry_climates,3,32,522,wflvq,4,6,0.9038461538461539,100.4876492023468
7,dry_climates,3,32,522,wflvq,4,7,0.8846153846153846,129.4186074733734
8,dry_climates,3,32,522,wflvq,4,8,0.9215686274509803,33.582958459854126
9,dry_climates,3,32,522,wflvq,4,9,0.86,160.08660507202148
0,dry_climates,3,32,522,wflvq,5,0,0.8113207547169812,45.87623953819275
1,dry_climates,3,32,522,wflvq,5,1,0.7358490566037735,250.54639840126038
2,dry_climates,3,32,522,wflvq,5,2,0.8867924528301887,166.5043044090271
3,dry_climates,3,32,522,wflvq,5,3,0.7358490566037735,125.74888968467712
4,dry_climates,3,32,522,wflvq,5,4,0.8301886792452831,139.82139253616333
5,dry_climates,3,32,522,wflvq,5,5,0.7884615384615384,63.82351636886597
6,dry_climates,3,32,522,wflvq,5,6,0.75,93.2798593044281
7,dry_climates,3,32,522,wflvq,5,7,0.8653846153846154,210.32011556625366
8,dry_climates,3,32,522,wflvq,5,8,0.7843137254901961,74.20287013053894
9,dry_climates,3,32,522,wflvq,5,9,0.72,223.96502041816711
0,dry_climates,3,32,522,wflvq,6,0,0.9245283018867925,111.27180123329163
1,dry_climates,3,32,522,wflvq,6,1,0.8867924528301887,56.08933138847351
2,dry_climates,3,32,522,wflvq,6,2,0.7547169811320755,139.5583894252777
3,dry_climates,3,32,522,wflvq,6,3,0.9245283018867925,73.39600706100464
4,dry_climates,3,32,522,wflvq,6,4,0.8113207547169812,40.361761808395386
5,dry_climates,3,32,522,wflvq,6,5,0.8269230769230769,112.67361903190613
6,dry_climates,3,32,522,wflvq,6,6,0.8269230769230769,47.04815626144409
7,dry_climates,3,32,522,wflvq,6,7,0.8653846153846154,86.32397270202637
8,dry_climates,3,32,522,wflvq,6,8,0.803921568627451,134.89442801475525
9,dry_climates,3,32,522,wflvq,6,9,0.82,111.12214589118958
0,dry_climates,3,32,522,wflvq,7,0,0.8301886792452831,57.623488664627075
1,dry_climates,3,32,522,wflvq,7,1,0.7924528301886793,88.70492243766785
2,dry_climates,3,32,522,wflvq,7,2,0.7924528301886793,53.228909969329834
3,dry_climates,3,32,522,wflvq,7,3,0.8490566037735849,124.68627333641052
4,dry_climates,3,32,522,wflvq,7,4,0.6981132075471698,147.9542362689972
5,dry_climates,3,32,522,wflvq,7,5,0.9423076923076923,31.976515769958496
6,dry_climates,3,32,522,wflvq,7,6,0.8461538461538461,88.42430710792542
7,dry_climates,3,32,522,wflvq,7,7,0.75,62.34167456626892
8,dry_climates,3,32,522,wflvq,7,8,0.803921568627451,116.91101169586182
9,dry_climates,3,32,522,wflvq,7,9,0.78,128.54674983024597
0,dry_climates,3,32,522,wflvq,8,0,0.6792452830188679,128.14765191078186
1,dry_climates,3,32,522,wflvq,8,1,0.8113207547169812,64.47424960136414
2,dry_climates,3,32,522,wflvq,8,2,0.8301886792452831,179.016743183136
3,dry_climates,3,32,522,wflvq,8,3,0.8113207547169812,92.67190313339233
4,dry_climates,3,32,522,wflvq,8,4,0.8113207547169812,31.525155305862427
5,dry_climates,3,32,522,wflvq,8,5,0.8269230769230769,31.966668367385864
6,dry_climates,3,32,522,wflvq,8,6,0.75,69.71043252944946
7,dry_climates,3,32,522,wflvq,8,7,0.8269230769230769,52.13291072845459
8,dry_climates,3,32,522,wflvq,8,8,0.8235294117647058,110.03847146034241
9,dry_climates,3,32,522,wflvq,8,9,0.9,44.468353271484375
0,dry_climates,3,32,522,wflvq,9,0,0.8301886792452831,176.75081634521484
1,dry_climates,3,32,522,wflvq,9,1,0.7169811320754716,31.258527755737305
2,dry_climates,3,32,522,wflvq,9,2,0.8301886792452831,110.10181260108948
3,dry_climates,3,32,522,wflvq,9,3,0.8679245283018868,87.37598538398743
4,dry_climates,3,32,522,wflvq,9,4,0.9056603773584906,40.2403450012207
5,dry_climates,3,32,522,wflvq,9,5,0.8461538461538461,31.836678504943848
6,dry_climates,3,32,522,wflvq,9,6,0.7692307692307693,90.55947494506836
7,dry_climates,3,32,522,wflvq,9,7,0.7115384615384616,118.56418371200562
8,dry_climates,3,32,522,wflvq,9,8,0.8823529411764706,58.69689059257507
9,dry_climates,3,32,522,wflvq,9,9,0.86,79.11367702484131
0,european_climates,2,32,324,wflvq,0,0,0.8181818181818182,22.446370124816895
1,european_climates,2,32,324,wflvq,0,1,0.9696969696969697,27.71731209754944
2,european_climates,2,32,324,wflvq,0,2,0.9393939393939394,28.792363166809082
3,european_climates,2,32,324,wflvq,0,3,0.8484848484848485,23.888244152069092
4,european_climates,2,32,324,wflvq,0,4,0.9090909090909091,86.80090737342834
5,european_climates,2,32,324,wflvq,0,5,0.9393939393939394,27.745370388031006
6,european_climates,2,32,324,wflvq,0,6,0.9375,10.620545387268066
7,european_climates,2,32,324,wflvq,0,7,0.9375,95.97684812545776
8,european_climates,2,32,324,wflvq,0,8,0.9032258064516129,37.55918574333191
9,european_climates,2,32,324,wflvq,0,9,1.0,75.02260375022888
0,european_climates,2,32,324,wflvq,1,0,0.9393939393939394,28.751840114593506
1,european_climates,2,32,324,wflvq,1,1,0.9090909090909091,37.77366518974304
2,european_climates,2,32,324,wflvq,1,2,0.8484848484848485,23.19627332687378
3,european_climates,2,32,324,wflvq,1,3,0.9393939393939394,19.127107620239258
4,european_climates,2,32,324,wflvq,1,4,0.9696969696969697,24.10198450088501
5,european_climates,2,32,324,wflvq,1,5,0.9696969696969697,53.31476283073425
6,european_climates,2,32,324,wflvq,1,6,0.90625,19.286920309066772
7,european_climates,2,32,324,wflvq,1,7,0.875,23.4611394405365
8,european_climates,2,32,324,wflvq,1,8,0.9354838709677419,18.651031494140625
9,european_climates,2,32,324,wflvq,1,9,0.8709677419354839,15.715261459350586
0,european_climates,2,32,324,wflvq,2,0,0.9090909090909091,34.10768008232117
1,european_climates,2,32,324,wflvq,2,1,0.9090909090909091,23.37181854248047
2,european_climates,2,32,324,wflvq,2,2,0.9393939393939394,28.590672492980957
3,european_climates,2,32,324,wflvq,2,3,0.9090909090909091,28.50524377822876
