Unnamed: 0,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,climates,10,16.000000,1415,sdsa_lgbm_not_update,2,0,0.795775,56.152191
1,climates,10,16.000000,1415,sdsa_lgbm_not_update,2,1,0.830986,52.112207
2,climates,10,16.000000,1415,sdsa_lgbm_not_update,2,2,0.809859,52.371620
3,climates,10,16.000000,1415,sdsa_lgbm_not_update,2,3,0.802817,53.681211
4,climates,10,16.000000,1415,sdsa_lgbm_not_update,2,4,0.746479,56.447365
5,climates,10,16.000000,1415,sdsa_lgbm_not_update,2,5,0.801418,53.009684
6,climates,10,16.000000,1415,sdsa_lgbm_not_update,2,6,0.773050,52.750755
7,climates,10,16.000000,1415,sdsa_lgbm_not_update,2,7,0.773050,53.385445
8,climates,10,16.000000,1415,sdsa_lgbm_not_update,2,8,0.737589,57.532463
9,climates,10,16.000000,1415,sdsa_lgbm_not_update,2,9,0.780142,53.795497
0,climates,10,16.000000,1415,sdsa_lgbm_not_update,0,0,0.795775,54.936235
1,climates,10,16.000000,1415,sdsa_lgbm_not_update,0,1,0.802817,52.107436
2,climates,10,16.000000,1415,sdsa_lgbm_not_update,0,2,0.746479,51.519970
3,climates,10,16.000000,1415,sdsa_lgbm_not_update,0,3,0.809859,52.410430
4,climates,10,16.000000,1415,sdsa_lgbm_not_update,0,4,0.760563,58.489507
5,climates,10,16.000000,1415,sdsa_lgbm_not_update,0,5,0.751773,52.227523
6,climates,10,16.000000,1415,sdsa_lgbm_not_update,0,6,0.744681,52.412522
7,climates,10,16.000000,1415,sdsa_lgbm_not_update,0,7,0.836879,53.109667
8,climates,10,16.000000,1415,sdsa_lgbm_not_update,0,8,0.822695,58.613699
9,climates,10,16.000000,1415,sdsa_lgbm_not_update,0,9,0.765957,52.519189
0,climates,10,16.000000,1415,sdsa_lgbm_not_update,3,0,0.788732,53.007105
1,climates,10,16.000000,1415,sdsa_lgbm_not_update,3,1,0.739437,53.173433
2,climates,10,16.000000,1415,sdsa_lgbm_not_update,3,2,0.802817,56.991880
3,climates,10,16.000000,1415,sdsa_lgbm_not_update,3,3,0.746479,54.035190
4,climates,10,16.000000,1415,sdsa_lgbm_not_update,3,4,0.838028,52.926734
5,climates,10,16.000000,1415,sdsa_lgbm_not_update,3,5,0.801418,54.451184
6,climates,10,16.000000,1415,sdsa_lgbm_not_update,3,6,0.723404,87.090351
7,climates,10,16.000000,1415,sdsa_lgbm_not_update,3,7,0.787234,70.891970
8,climates,10,16.000000,1415,sdsa_lgbm_not_update,3,8,0.709220,52.227182
9,climates,10,16.000000,1415,sdsa_lgbm_not_update,3,9,0.780142,53.496205
0,climates,10,16.000000,1415,sdsa_lgbm_not_update,1,0,0.753521,53.523737
1,climates,10,16.000000,1415,sdsa_lgbm_not_update,1,1,0.760563,52.322540
2,climates,10,16.000000,1415,sdsa_lgbm_not_update,1,2,0.788732,52.160850
3,climates,10,16.000000,1415,sdsa_lgbm_not_update,1,3,0.788732,59.476484
4,climates,10,16.000000,1415,sdsa_lgbm_not_update,1,4,0.746479,51.787214
5,climates,10,16.000000,1415,sdsa_lgbm_not_update,1,5,0.780142,53.693380
6,climates,10,16.000000,1415,sdsa_lgbm_not_update,1,6,0.787234,87.175381
7,climates,10,16.000000,1415,sdsa_lgbm_not_update,1,7,0.836879,70.655962
8,climates,10,16.000000,1415,sdsa_lgbm_not_update,1,8,0.808511,52.183747
9,climates,10,16.000000,1415,sdsa_lgbm_not_update,1,9,0.773050,52.382092
0,dataset3,2,3.000000,700,sdsa_svc,4,0,0.957143,0.309994
1,dataset3,2,3.000000,700,sdsa_svc,4,1,0.971429,0.353495
2,dataset3,2,3.000000,700,sdsa_svc,4,2,0.942857,0.430936
3,dataset3,2,3.000000,700,sdsa_svc,4,3,0.914286,0.316513
4,dataset3,2,3.000000,700,sdsa_svc,4,4,0.985714,0.293705
5,dataset3,2,3.000000,700,sdsa_svc,4,5,0.914286,0.353569
6,dataset3,2,3.000000,700,sdsa_svc,4,6,0.942857,0.387827
