Unnamed: 0,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time,source_file,algorithm
0,dataset3,2,3.000000,700,sdsa_svc,4,0,0.971429,0.115545,dataset-dataset3-mc-4.csv,sdsa_svc
1,dataset3,2,3.000000,700,sdsa_svc,4,1,0.985714,0.116298,dataset-dataset3-mc-4.csv,sdsa_svc
2,dataset3,2,3.000000,700,sdsa_svc,4,2,0.942857,0.112346,dataset-dataset3-mc-4.csv,sdsa_svc
3,dataset3,2,3.000000,700,sdsa_svc,4,3,0.928571,0.112694,dataset-dataset3-mc-4.csv,sdsa_svc
4,dataset3,2,3.000000,700,sdsa_svc,4,4,0.985714,0.112908,dataset-dataset3-mc-4.csv,sdsa_svc
5,dataset3,2,3.000000,700,sdsa_svc,4,5,0.957143,0.116472,dataset-dataset3-mc-4.csv,sdsa_svc
6,dataset3,2,3.000000,700,sdsa_svc,4,6,0.928571,0.114614,dataset-dataset3-mc-4.csv,sdsa_svc
7,dataset3,2,3.000000,700,sdsa_svc,4,7,0.914286,0.115636,dataset-dataset3-mc-4.csv,sdsa_svc
8,dataset3,2,3.000000,700,sdsa_svc,4,8,0.985714,0.113690,dataset-dataset3-mc-4.csv,sdsa_svc
9,dataset3,2,3.000000,700,sdsa_svc,4,9,0.957143,0.132784,dataset-dataset3-mc-4.csv,sdsa_svc
0,mushroom,2,3.000000,154,sdsa_svc,0,0,0.750000,0.017704,dataset-mushroom-mc-0.csv,sdsa_svc
1,mushroom,2,3.000000,154,sdsa_svc,0,1,0.750000,0.016186,dataset-mushroom-mc-0.csv,sdsa_svc
2,mushroom,2,3.000000,154,sdsa_svc,0,2,0.750000,0.016227,dataset-mushroom-mc-0.csv,sdsa_svc
3,mushroom,2,3.000000,154,sdsa_svc,0,3,0.750000,0.016884,dataset-mushroom-mc-0.csv,sdsa_svc
4,mushroom,2,3.000000,154,sdsa_svc,0,4,0.733333,0.016814,dataset-mushroom-mc-0.csv,sdsa_svc
5,mushroom,2,3.000000,154,sdsa_svc,0,5,0.733333,0.016792,dataset-mushroom-mc-0.csv,sdsa_svc
6,mushroom,2,3.000000,154,sdsa_svc,0,6,0.733333,0.017184,dataset-mushroom-mc-0.csv,sdsa_svc
7,mushroom,2,3.000000,154,sdsa_svc,0,7,0.733333,0.016968,dataset-mushroom-mc-0.csv,sdsa_svc
8,mushroom,2,3.000000,154,sdsa_svc,0,8,0.733333,0.016847,dataset-mushroom-mc-0.csv,sdsa_svc
9,mushroom,2,3.000000,154,sdsa_svc,0,9,0.733333,0.016871,dataset-mushroom-mc-0.csv,sdsa_svc
0,european-climates,2,16.000000,324,sdsa_svc,4,0,0.939394,0.107779,dataset-european-climates-mc-4.csv,sdsa_svc
1,european-climates,2,16.000000,324,sdsa_svc,4,1,0.939394,0.104624,dataset-european-climates-mc-4.csv,sdsa_svc
2,european-climates,2,16.000000,324,sdsa_svc,4,2,0.969697,0.105587,dataset-european-climates-mc-4.csv,sdsa_svc
3,european-climates,2,16.000000,324,sdsa_svc,4,3,0.939394,0.107368,dataset-european-climates-mc-4.csv,sdsa_svc
4,european-climates,2,16.000000,324,sdsa_svc,4,4,0.968750,0.107328,dataset-european-climates-mc-4.csv,sdsa_svc
5,european-climates,2,16.000000,324,sdsa_svc,4,5,0.906250,0.107068,dataset-european-climates-mc-4.csv,sdsa_svc
6,european-climates,2,16.000000,324,sdsa_svc,4,6,0.937500,0.106199,dataset-european-climates-mc-4.csv,sdsa_svc
7,european-climates,2,16.000000,324,sdsa_svc,4,7,0.937500,0.106306,dataset-european-climates-mc-4.csv,sdsa_svc
8,european-climates,2,16.000000,324,sdsa_svc,4,8,0.968750,0.105885,dataset-european-climates-mc-4.csv,sdsa_svc
9,european-climates,2,16.000000,324,sdsa_svc,4,9,1.000000,0.108116,dataset-european-climates-mc-4.csv,sdsa_svc
0,mushroom,2,3.000000,154,sdsa_svc,4,0,0.750000,0.030986,dataset-mushroom-mc-4.csv,sdsa_svc
1,mushroom,2,3.000000,154,sdsa_svc,4,1,0.750000,0.028107,dataset-mushroom-mc-4.csv,sdsa_svc
2,mushroom,2,3.000000,154,sdsa_svc,4,2,0.750000,0.027786,dataset-mushroom-mc-4.csv,sdsa_svc
3,mushroom,2,3.000000,154,sdsa_svc,4,3,0.750000,0.027799,dataset-mushroom-mc-4.csv,sdsa_svc
4,mushroom,2,3.000000,154,sdsa_svc,4,4,0.733333,0.028179,dataset-mushroom-mc-4.csv,sdsa_svc
5,mushroom,2,3.000000,154,sdsa_svc,4,5,0.733333,0.028111,dataset-mushroom-mc-4.csv,sdsa_svc
6,mushroom,2,3.000000,154,sdsa_svc,4,6,0.733333,0.020894,dataset-mushroom-mc-4.csv,sdsa_svc
7,mushroom,2,3.000000,154,sdsa_svc,4,7,0.733333,0.014778,dataset-mushroom-mc-4.csv,sdsa_svc
8,mushroom,2,3.000000,154,sdsa_svc,4,8,0.733333,0.014592,dataset-mushroom-mc-4.csv,sdsa_svc
9,mushroom,2,3.000000,154,sdsa_svc,4,9,0.733333,0.014310,dataset-mushroom-mc-4.csv,sdsa_svc
0,dataset2,2,2.000000,700,sdsa_svc,4,0,0.928571,0.112455,dataset-dataset2-mc-4.csv,sdsa_svc
1,dataset2,2,2.000000,700,sdsa_svc,4,1,0.928571,0.114998,dataset-dataset2-mc-4.csv,sdsa_svc
2,dataset2,2,2.000000,700,sdsa_svc,4,2,0.928571,0.111355,dataset-dataset2-mc-4.csv,sdsa_svc
3,dataset2,2,2.000000,700,sdsa_svc,4,3,0.928571,0.110168,dataset-dataset2-mc-4.csv,sdsa_svc
4,dataset2,2,2.000000,700,sdsa_svc,4,4,0.942857,0.110043,dataset-dataset2-mc-4.csv,sdsa_svc
5,dataset2,2,2.000000,700,sdsa_svc,4,5,0.985714,0.110414,dataset-dataset2-mc-4.csv,sdsa_svc
6,dataset2,2,2.000000,700,sdsa_svc,4,6,0.942857,0.109254,dataset-dataset2-mc-4.csv,sdsa_svc
7,dataset2,2,2.000000,700,sdsa_svc,4,7,0.971429,0.110828,dataset-dataset2-mc-4.csv,sdsa_svc
8,dataset2,2,2.000000,700,sdsa_svc,4,8,0.985714,0.109852,dataset-dataset2-mc-4.csv,sdsa_svc
9,dataset2,2,2.000000,700,sdsa_svc,4,9,0.971429,0.109792,dataset-dataset2-mc-4.csv,sdsa_svc
0,dataset1,2,2.000000,400,sdsa_svc,7,0,0.925000,0.136855,dataset-dataset1-mc-7.csv,sdsa_svc
1,dataset1,2,2.000000,400,sdsa_svc,7,1,0.925000,0.108075,dataset-dataset1-mc-7.csv,sdsa_svc
2,dataset1,2,2.000000,400,sdsa_svc,7,2,0.875000,0.108228,dataset-dataset1-mc-7.csv,sdsa_svc
3,dataset1,2,2.000000,400,sdsa_svc,7,3,0.900000,0.108093,dataset-dataset1-mc-7.csv,sdsa_svc
4,dataset1,2,2.000000,400,sdsa_svc,7,4,0.950000,0.179550,dataset-dataset1-mc-7.csv,sdsa_svc
5,dataset1,2,2.000000,400,sdsa_svc,7,5,1.000000,0.101285,dataset-dataset1-mc-7.csv,sdsa_svc
6,dataset1,2,2.000000,400,sdsa_svc,7,6,0.975000,0.119481,dataset-dataset1-mc-7.csv,sdsa_svc
7,dataset1,2,2.000000,400,sdsa_svc,7,7,0.925000,0.120751,dataset-dataset1-mc-7.csv,sdsa_svc
8,dataset1,2,2.000000,400,sdsa_svc,7,8,0.950000,0.078443,dataset-dataset1-mc-7.csv,sdsa_svc
9,dataset1,2,2.000000,400,sdsa_svc,7,9,0.950000,0.059950,dataset-dataset1-mc-7.csv,sdsa_svc
0,european-climates,2,16.000000,324,sdsa_svc,9,0,0.909091,0.204828,dataset-european-climates-mc-9.csv,sdsa_svc
1,european-climates,2,16.000000,324,sdsa_svc,9,1,1.000000,0.202869,dataset-european-climates-mc-9.csv,sdsa_svc
2,european-climates,2,16.000000,324,sdsa_svc,9,2,1.000000,0.202118,dataset-european-climates-mc-9.csv,sdsa_svc
3,european-climates,2,16.000000,324,sdsa_svc,9,3,0.939394,0.200443,dataset-european-climates-mc-9.csv,sdsa_svc
4,european-climates,2,16.000000,324,sdsa_svc,9,4,0.968750,0.201613,dataset-european-climates-mc-9.csv,sdsa_svc
5,european-climates,2,16.000000,324,sdsa_svc,9,5,0.937500,0.128043,dataset-european-climates-mc-9.csv,sdsa_svc
6,european-climates,2,16.000000,324,sdsa_svc,9,6,1.000000,0.098302,dataset-european-climates-mc-9.csv,sdsa_svc
7,european-climates,2,16.000000,324,sdsa_svc,9,7,0.937500,0.097015,dataset-european-climates-mc-9.csv,sdsa_svc
8,european-climates,2,16.000000,324,sdsa_svc,9,8,0.968750,0.096859,dataset-european-climates-mc-9.csv,sdsa_svc
9,european-climates,2,16.000000,324,sdsa_svc,9,9,0.875000,0.097407,dataset-european-climates-mc-9.csv,sdsa_svc
0,mushroom,2,3.000000,154,sdsa_svc,5,0,0.750000,0.022829,dataset-mushroom-mc-5.csv,sdsa_svc
1,mushroom,2,3.000000,154,sdsa_svc,5,1,0.750000,0.019767,dataset-mushroom-mc-5.csv,sdsa_svc
2,mushroom,2,3.000000,154,sdsa_svc,5,2,0.750000,0.017237,dataset-mushroom-mc-5.csv,sdsa_svc
3,mushroom,2,3.000000,154,sdsa_svc,5,3,0.750000,0.017070,dataset-mushroom-mc-5.csv,sdsa_svc
4,mushroom,2,3.000000,154,sdsa_svc,5,4,0.733333,0.017081,dataset-mushroom-mc-5.csv,sdsa_svc
5,mushroom,2,3.000000,154,sdsa_svc,5,5,0.733333,0.019745,dataset-mushroom-mc-5.csv,sdsa_svc
6,mushroom,2,3.000000,154,sdsa_svc,5,6,0.733333,0.016582,dataset-mushroom-mc-5.csv,sdsa_svc
7,mushroom,2,3.000000,154,sdsa_svc,5,7,0.733333,0.017128,dataset-mushroom-mc-5.csv,sdsa_svc
8,mushroom,2,3.000000,154,sdsa_svc,5,8,0.733333,0.017183,dataset-mushroom-mc-5.csv,sdsa_svc
9,mushroom,2,3.000000,154,sdsa_svc,5,9,0.733333,0.018366,dataset-mushroom-mc-5.csv,sdsa_svc
0,dry-climates,3,16.000000,522,sdsa_svc,4,0,0.981132,0.177304,dataset-dry-climates-mc-4.csv,sdsa_svc
1,dry-climates,3,16.000000,522,sdsa_svc,4,1,0.905660,0.176744,dataset-dry-climates-mc-4.csv,sdsa_svc
2,dry-climates,3,16.000000,522,sdsa_svc,4,2,0.942308,0.175105,dataset-dry-climates-mc-4.csv,sdsa_svc
3,dry-climates,3,16.000000,522,sdsa_svc,4,3,0.942308,0.177751,dataset-dry-climates-mc-4.csv,sdsa_svc
4,dry-climates,3,16.000000,522,sdsa_svc,4,4,0.980769,0.175999,dataset-dry-climates-mc-4.csv,sdsa_svc
5,dry-climates,3,16.000000,522,sdsa_svc,4,5,0.961538,0.176938,dataset-dry-climates-mc-4.csv,sdsa_svc
6,dry-climates,3,16.000000,522,sdsa_svc,4,6,0.923077,0.178114,dataset-dry-climates-mc-4.csv,sdsa_svc
7,dry-climates,3,16.000000,522,sdsa_svc,4,7,0.903846,0.177159,dataset-dry-climates-mc-4.csv,sdsa_svc
8,dry-climates,3,16.000000,522,sdsa_svc,4,8,0.942308,0.177661,dataset-dry-climates-mc-4.csv,sdsa_svc
9,dry-climates,3,16.000000,522,sdsa_svc,4,9,0.942308,0.177289,dataset-dry-climates-mc-4.csv,sdsa_svc
0,dry-climates,3,16.000000,522,sdsa_svc,6,0,0.981132,0.335502,dataset-dry-climates-mc-6.csv,sdsa_svc
1,dry-climates,3,16.000000,522,sdsa_svc,6,1,0.962264,0.328809,dataset-dry-climates-mc-6.csv,sdsa_svc
2,dry-climates,3,16.000000,522,sdsa_svc,6,2,0.903846,0.332331,dataset-dry-climates-mc-6.csv,sdsa_svc
3,dry-climates,3,16.000000,522,sdsa_svc,6,3,0.942308,0.331499,dataset-dry-climates-mc-6.csv,sdsa_svc
4,dry-climates,3,16.000000,522,sdsa_svc,6,4,0.961538,0.330842,dataset-dry-climates-mc-6.csv,sdsa_svc
5,dry-climates,3,16.000000,522,sdsa_svc,6,5,0.961538,0.228004,dataset-dry-climates-mc-6.csv,sdsa_svc
6,dry-climates,3,16.000000,522,sdsa_svc,6,6,0.961538,0.162748,dataset-dry-climates-mc-6.csv,sdsa_svc
