Unnamed: 0,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time,source_file,algorithm
0,dry-climates,3,16.000000,522,ivabc,8,0,0.962264,828.354495,dataset-dry-climates-mc-8.csv,ivabc
1,dry-climates,3,16.000000,522,ivabc,8,1,0.962264,382.552799,dataset-dry-climates-mc-8.csv,ivabc
2,dry-climates,3,16.000000,522,ivabc,8,2,1.000000,470.791296,dataset-dry-climates-mc-8.csv,ivabc
3,dry-climates,3,16.000000,522,ivabc,8,3,0.884615,33668.929703,dataset-dry-climates-mc-8.csv,ivabc
4,dry-climates,3,16.000000,522,ivabc,8,4,0.903846,220.187584,dataset-dry-climates-mc-8.csv,ivabc
5,dry-climates,3,16.000000,522,ivabc,8,5,0.903846,743.583897,dataset-dry-climates-mc-8.csv,ivabc
6,dry-climates,3,16.000000,522,ivabc,8,6,0.942308,668.000206,dataset-dry-climates-mc-8.csv,ivabc
7,dry-climates,3,16.000000,522,ivabc,8,7,0.961538,471.436019,dataset-dry-climates-mc-8.csv,ivabc
8,dry-climates,3,16.000000,522,ivabc,8,8,0.942308,366.766469,dataset-dry-climates-mc-8.csv,ivabc
9,dry-climates,3,16.000000,522,ivabc,8,9,0.923077,567.234013,dataset-dry-climates-mc-8.csv,ivabc
0,climates,10,16.000000,1415,ivabc,5,0,0.823944,3946.755657,dataset-climates-mc-5.csv,ivabc
1,climates,10,16.000000,1415,ivabc,5,1,0.781690,4055.938847,dataset-climates-mc-5.csv,ivabc
2,climates,10,16.000000,1415,ivabc,5,2,0.873239,3954.375385,dataset-climates-mc-5.csv,ivabc
3,climates,10,16.000000,1415,ivabc,5,3,0.816901,3622.040703,dataset-climates-mc-5.csv,ivabc
4,climates,10,16.000000,1415,ivabc,5,4,0.816901,34165.892034,dataset-climates-mc-5.csv,ivabc
5,climates,10,16.000000,1415,ivabc,5,5,0.801418,4380.505896,dataset-climates-mc-5.csv,ivabc
6,climates,10,16.000000,1415,ivabc,5,6,0.801418,14566.078891,dataset-climates-mc-5.csv,ivabc
7,climates,10,16.000000,1415,ivabc,5,7,0.751773,2200.706180,dataset-climates-mc-5.csv,ivabc
8,climates,10,16.000000,1415,ivabc,5,8,0.822695,1722.772332,dataset-climates-mc-5.csv,ivabc
9,climates,10,16.000000,1415,ivabc,5,9,0.836879,1506.749711,dataset-climates-mc-5.csv,ivabc
0,european-climates,2,16.000000,324,ivabc,3,0,0.909091,177.332108,dataset-european-climates-mc-3.csv,ivabc
1,european-climates,2,16.000000,324,ivabc,3,1,1.000000,167.956302,dataset-european-climates-mc-3.csv,ivabc
2,european-climates,2,16.000000,324,ivabc,3,2,0.969697,347.655171,dataset-european-climates-mc-3.csv,ivabc
3,european-climates,2,16.000000,324,ivabc,3,3,1.000000,403.739090,dataset-european-climates-mc-3.csv,ivabc
4,european-climates,2,16.000000,324,ivabc,3,4,1.000000,192.935762,dataset-european-climates-mc-3.csv,ivabc
5,european-climates,2,16.000000,324,ivabc,3,5,0.875000,131.959428,dataset-european-climates-mc-3.csv,ivabc
6,european-climates,2,16.000000,324,ivabc,3,6,0.937500,231.402613,dataset-european-climates-mc-3.csv,ivabc
7,european-climates,2,16.000000,324,ivabc,3,7,1.000000,387.435079,dataset-european-climates-mc-3.csv,ivabc
8,european-climates,2,16.000000,324,ivabc,3,8,0.937500,397.373743,dataset-european-climates-mc-3.csv,ivabc
9,european-climates,2,16.000000,324,ivabc,3,9,1.000000,223.670682,dataset-european-climates-mc-3.csv,ivabc
0,mushroom,2,3.000000,154,ivabc,5,0,0.750000,10.952285,dataset-mushroom-mc-5.csv,ivabc
1,mushroom,2,3.000000,154,ivabc,5,1,0.750000,22.572424,dataset-mushroom-mc-5.csv,ivabc
2,mushroom,2,3.000000,154,ivabc,5,2,0.750000,18.642493,dataset-mushroom-mc-5.csv,ivabc
3,mushroom,2,3.000000,154,ivabc,5,3,0.750000,19.075671,dataset-mushroom-mc-5.csv,ivabc
4,mushroom,2,3.000000,154,ivabc,5,4,0.400000,12.620052,dataset-mushroom-mc-5.csv,ivabc
5,mushroom,2,3.000000,154,ivabc,5,5,0.733333,18.584725,dataset-mushroom-mc-5.csv,ivabc
6,mushroom,2,3.000000,154,ivabc,5,6,0.733333,18.497443,dataset-mushroom-mc-5.csv,ivabc
7,mushroom,2,3.000000,154,ivabc,5,7,0.733333,23.758658,dataset-mushroom-mc-5.csv,ivabc
8,mushroom,2,3.000000,154,ivabc,5,8,0.733333,12.080888,dataset-mushroom-mc-5.csv,ivabc
9,mushroom,2,3.000000,154,ivabc,5,9,0.733333,16.909591,dataset-mushroom-mc-5.csv,ivabc
0,dry-climates,3,16.000000,522,ivabc,1,0,0.962264,511.601441,dataset-dry-climates-mc-1.csv,ivabc
1,dry-climates,3,16.000000,522,ivabc,1,1,0.962264,401.785879,dataset-dry-climates-mc-1.csv,ivabc
2,dry-climates,3,16.000000,522,ivabc,1,2,0.942308,392.746559,dataset-dry-climates-mc-1.csv,ivabc
3,dry-climates,3,16.000000,522,ivabc,1,3,0.942308,311.908418,dataset-dry-climates-mc-1.csv,ivabc
4,dry-climates,3,16.000000,522,ivabc,1,4,0.846154,518.893270,dataset-dry-climates-mc-1.csv,ivabc
5,dry-climates,3,16.000000,522,ivabc,1,5,0.980769,311.100041,dataset-dry-climates-mc-1.csv,ivabc
6,dry-climates,3,16.000000,522,ivabc,1,6,0.980769,480.671402,dataset-dry-climates-mc-1.csv,ivabc
7,dry-climates,3,16.000000,522,ivabc,1,7,0.884615,545.410831,dataset-dry-climates-mc-1.csv,ivabc
8,dry-climates,3,16.000000,522,ivabc,1,8,0.961538,348.534181,dataset-dry-climates-mc-1.csv,ivabc
9,dry-climates,3,16.000000,522,ivabc,1,9,0.961538,470.272085,dataset-dry-climates-mc-1.csv,ivabc
0,mushroom,2,3.000000,154,ivabc,0,0,0.625000,8.847028,dataset-mushroom-mc-0.csv,ivabc
1,mushroom,2,3.000000,154,ivabc,0,1,0.750000,9.947258,dataset-mushroom-mc-0.csv,ivabc
2,mushroom,2,3.000000,154,ivabc,0,2,0.750000,17.611795,dataset-mushroom-mc-0.csv,ivabc
3,mushroom,2,3.000000,154,ivabc,0,3,0.750000,13.150244,dataset-mushroom-mc-0.csv,ivabc
4,mushroom,2,3.000000,154,ivabc,0,4,0.733333,18.691275,dataset-mushroom-mc-0.csv,ivabc
5,mushroom,2,3.000000,154,ivabc,0,5,0.666667,16.906385,dataset-mushroom-mc-0.csv,ivabc
6,mushroom,2,3.000000,154,ivabc,0,6,0.733333,10.630899,dataset-mushroom-mc-0.csv,ivabc
7,mushroom,2,3.000000,154,ivabc,0,7,0.666667,19.772644,dataset-mushroom-mc-0.csv,ivabc
8,mushroom,2,3.000000,154,ivabc,0,8,0.733333,27.322261,dataset-mushroom-mc-0.csv,ivabc
9,mushroom,2,3.000000,154,ivabc,0,9,0.733333,17.273322,dataset-mushroom-mc-0.csv,ivabc
