Unnamed: 0,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time,source_file,algorithm
0,mushroom,2,3.000000,154,sdsa_svc,0,0,0.750000,0.017340,dataset-mushroom-mc-0.csv,sdsa_svc
1,mushroom,2,3.000000,154,sdsa_svc,0,1,0.750000,0.015828,dataset-mushroom-mc-0.csv,sdsa_svc
2,mushroom,2,3.000000,154,sdsa_svc,0,2,0.750000,0.015779,dataset-mushroom-mc-0.csv,sdsa_svc
3,mushroom,2,3.000000,154,sdsa_svc,0,3,0.750000,0.016515,dataset-mushroom-mc-0.csv,sdsa_svc
4,mushroom,2,3.000000,154,sdsa_svc,0,4,0.733333,0.016699,dataset-mushroom-mc-0.csv,sdsa_svc
5,mushroom,2,3.000000,154,sdsa_svc,0,5,0.733333,0.018864,dataset-mushroom-mc-0.csv,sdsa_svc
6,mushroom,2,3.000000,154,sdsa_svc,0,6,0.733333,0.016818,dataset-mushroom-mc-0.csv,sdsa_svc
7,mushroom,2,3.000000,154,sdsa_svc,0,7,0.733333,0.016134,dataset-mushroom-mc-0.csv,sdsa_svc
8,mushroom,2,3.000000,154,sdsa_svc,0,8,0.733333,0.016745,dataset-mushroom-mc-0.csv,sdsa_svc
9,mushroom,2,3.000000,154,sdsa_svc,0,9,0.733333,0.016236,dataset-mushroom-mc-0.csv,sdsa_svc
0,european-climates,2,16.000000,324,sdsa_svc,4,0,0.909091,0.106513,dataset-european-climates-mc-4.csv,sdsa_svc
1,european-climates,2,16.000000,324,sdsa_svc,4,1,0.939394,0.106863,dataset-european-climates-mc-4.csv,sdsa_svc
2,european-climates,2,16.000000,324,sdsa_svc,4,2,0.969697,0.105054,dataset-european-climates-mc-4.csv,sdsa_svc
3,european-climates,2,16.000000,324,sdsa_svc,4,3,0.909091,0.104860,dataset-european-climates-mc-4.csv,sdsa_svc
4,european-climates,2,16.000000,324,sdsa_svc,4,4,0.968750,0.105901,dataset-european-climates-mc-4.csv,sdsa_svc
5,european-climates,2,16.000000,324,sdsa_svc,4,5,0.968750,0.106793,dataset-european-climates-mc-4.csv,sdsa_svc
6,european-climates,2,16.000000,324,sdsa_svc,4,6,0.937500,0.106112,dataset-european-climates-mc-4.csv,sdsa_svc
7,european-climates,2,16.000000,324,sdsa_svc,4,7,0.906250,0.108285,dataset-european-climates-mc-4.csv,sdsa_svc
8,european-climates,2,16.000000,324,sdsa_svc,4,8,0.968750,0.105808,dataset-european-climates-mc-4.csv,sdsa_svc
9,european-climates,2,16.000000,324,sdsa_svc,4,9,1.000000,0.106080,dataset-european-climates-mc-4.csv,sdsa_svc
0,mushroom,2,3.000000,154,sdsa_svc,4,0,0.750000,0.031036,dataset-mushroom-mc-4.csv,sdsa_svc
1,mushroom,2,3.000000,154,sdsa_svc,4,1,0.750000,0.028169,dataset-mushroom-mc-4.csv,sdsa_svc
2,mushroom,2,3.000000,154,sdsa_svc,4,2,0.750000,0.028290,dataset-mushroom-mc-4.csv,sdsa_svc
3,mushroom,2,3.000000,154,sdsa_svc,4,3,0.750000,0.027886,dataset-mushroom-mc-4.csv,sdsa_svc
4,mushroom,2,3.000000,154,sdsa_svc,4,4,0.733333,0.028012,dataset-mushroom-mc-4.csv,sdsa_svc
5,mushroom,2,3.000000,154,sdsa_svc,4,5,0.733333,0.028105,dataset-mushroom-mc-4.csv,sdsa_svc
6,mushroom,2,3.000000,154,sdsa_svc,4,6,0.733333,0.015815,dataset-mushroom-mc-4.csv,sdsa_svc
7,mushroom,2,3.000000,154,sdsa_svc,4,7,0.733333,0.015356,dataset-mushroom-mc-4.csv,sdsa_svc
8,mushroom,2,3.000000,154,sdsa_svc,4,8,0.733333,0.014454,dataset-mushroom-mc-4.csv,sdsa_svc
9,mushroom,2,3.000000,154,sdsa_svc,4,9,0.733333,0.014484,dataset-mushroom-mc-4.csv,sdsa_svc
0,european-climates,2,16.000000,324,sdsa_svc,9,0,0.848485,0.199158,dataset-european-climates-mc-9.csv,sdsa_svc
1,european-climates,2,16.000000,324,sdsa_svc,9,1,1.000000,0.192471,dataset-european-climates-mc-9.csv,sdsa_svc
2,european-climates,2,16.000000,324,sdsa_svc,9,2,1.000000,0.192659,dataset-european-climates-mc-9.csv,sdsa_svc
3,european-climates,2,16.000000,324,sdsa_svc,9,3,0.909091,0.194950,dataset-european-climates-mc-9.csv,sdsa_svc
4,european-climates,2,16.000000,324,sdsa_svc,9,4,0.937500,0.198556,dataset-european-climates-mc-9.csv,sdsa_svc
5,european-climates,2,16.000000,324,sdsa_svc,9,5,0.937500,0.145822,dataset-european-climates-mc-9.csv,sdsa_svc
6,european-climates,2,16.000000,324,sdsa_svc,9,6,1.000000,0.097309,dataset-european-climates-mc-9.csv,sdsa_svc
7,european-climates,2,16.000000,324,sdsa_svc,9,7,0.937500,0.096262,dataset-european-climates-mc-9.csv,sdsa_svc
8,european-climates,2,16.000000,324,sdsa_svc,9,8,0.968750,0.095363,dataset-european-climates-mc-9.csv,sdsa_svc
9,european-climates,2,16.000000,324,sdsa_svc,9,9,0.906250,0.094748,dataset-european-climates-mc-9.csv,sdsa_svc
0,mushroom,2,3.000000,154,sdsa_svc,5,0,0.750000,0.030957,dataset-mushroom-mc-5.csv,sdsa_svc
1,mushroom,2,3.000000,154,sdsa_svc,5,1,0.750000,0.028209,dataset-mushroom-mc-5.csv,sdsa_svc
2,mushroom,2,3.000000,154,sdsa_svc,5,2,0.750000,0.028244,dataset-mushroom-mc-5.csv,sdsa_svc
3,mushroom,2,3.000000,154,sdsa_svc,5,3,0.750000,0.027889,dataset-mushroom-mc-5.csv,sdsa_svc
4,mushroom,2,3.000000,154,sdsa_svc,5,4,0.733333,0.027859,dataset-mushroom-mc-5.csv,sdsa_svc
5,mushroom,2,3.000000,154,sdsa_svc,5,5,0.733333,0.028025,dataset-mushroom-mc-5.csv,sdsa_svc
6,mushroom,2,3.000000,154,sdsa_svc,5,6,0.733333,0.015686,dataset-mushroom-mc-5.csv,sdsa_svc
7,mushroom,2,3.000000,154,sdsa_svc,5,7,0.733333,0.014535,dataset-mushroom-mc-5.csv,sdsa_svc
8,mushroom,2,3.000000,154,sdsa_svc,5,8,0.733333,0.015079,dataset-mushroom-mc-5.csv,sdsa_svc
9,mushroom,2,3.000000,154,sdsa_svc,5,9,0.733333,0.014474,dataset-mushroom-mc-5.csv,sdsa_svc
0,dry-climates,3,16.000000,522,sdsa_svc,4,0,0.981132,0.176619,dataset-dry-climates-mc-4.csv,sdsa_svc
1,dry-climates,3,16.000000,522,sdsa_svc,4,1,0.905660,0.174317,dataset-dry-climates-mc-4.csv,sdsa_svc
2,dry-climates,3,16.000000,522,sdsa_svc,4,2,0.942308,0.172632,dataset-dry-climates-mc-4.csv,sdsa_svc
3,dry-climates,3,16.000000,522,sdsa_svc,4,3,0.942308,0.172969,dataset-dry-climates-mc-4.csv,sdsa_svc
4,dry-climates,3,16.000000,522,sdsa_svc,4,4,0.961538,0.176566,dataset-dry-climates-mc-4.csv,sdsa_svc
5,dry-climates,3,16.000000,522,sdsa_svc,4,5,0.980769,0.174552,dataset-dry-climates-mc-4.csv,sdsa_svc
6,dry-climates,3,16.000000,522,sdsa_svc,4,6,0.923077,0.178287,dataset-dry-climates-mc-4.csv,sdsa_svc
7,dry-climates,3,16.000000,522,sdsa_svc,4,7,0.884615,0.177608,dataset-dry-climates-mc-4.csv,sdsa_svc
8,dry-climates,3,16.000000,522,sdsa_svc,4,8,0.942308,0.174593,dataset-dry-climates-mc-4.csv,sdsa_svc
9,dry-climates,3,16.000000,522,sdsa_svc,4,9,0.942308,0.177629,dataset-dry-climates-mc-4.csv,sdsa_svc
0,dry-climates,3,16.000000,522,sdsa_svc,6,0,0.943396,0.336765,dataset-dry-climates-mc-6.csv,sdsa_svc
1,dry-climates,3,16.000000,522,sdsa_svc,6,1,0.943396,0.329482,dataset-dry-climates-mc-6.csv,sdsa_svc
2,dry-climates,3,16.000000,522,sdsa_svc,6,2,0.923077,0.330568,dataset-dry-climates-mc-6.csv,sdsa_svc
3,dry-climates,3,16.000000,522,sdsa_svc,6,3,0.923077,0.314997,dataset-dry-climates-mc-6.csv,sdsa_svc
4,dry-climates,3,16.000000,522,sdsa_svc,6,4,0.961538,0.326661,dataset-dry-climates-mc-6.csv,sdsa_svc
5,dry-climates,3,16.000000,522,sdsa_svc,6,5,0.961538,0.235405,dataset-dry-climates-mc-6.csv,sdsa_svc
6,dry-climates,3,16.000000,522,sdsa_svc,6,6,0.942308,0.162684,dataset-dry-climates-mc-6.csv,sdsa_svc
