dataset,classifier,acc_mean_Euclidean,acc_std_Euclidean,time_mean_Euclidean,time_std_Euclidean,acc_mean_Hausdorff,acc_std_Hausdorff,time_mean_Hausdorff,time_std_Hausdorff,acc_mean_Block,acc_std_Block,time_mean_Block,time_std_Block
climates,ivabc,0.816612,0.029674,6187.47569,8380.567485,0.816612,0.029674,6187.47569,8380.567485,0.816612,0.029674,6187.47569,8380.567485
climates,knn,0.787269,0.032965,6.5e-05,7.8e-05,,,,,,,,
climates,sdsa,0.694694,0.034447,1.725049,0.316632,0.728047,0.038718,0.943625,0.251449,0.742745,0.031235,0.922136,0.246988
climates,sdsa_knn,0.720006,0.029808,2.341258,0.296153,0.77193,0.030037,0.631752,0.155036,0.796231,0.028939,0.634655,0.166666
climates,sdsa_knn_not_update,0.720995,0.030932,0.1375,0.031625,0.772141,0.031794,0.079128,0.031272,0.79708,0.028401,0.087566,0.037631
climates,sdsa_lr,0.844352,0.030171,165.774855,64.695364,,,,,,,,
climates,sdsa_lr_not_update,0.842802,0.034747,102.105154,41.8433,,,,,,,,
climates,sdsa_not_update,0.698882,0.037272,1.201718,0.424185,0.725854,0.036903,0.434234,0.091267,0.745985,0.03367,0.438126,0.08889
climates,sdsa_rf,0.765787,0.035956,4.452389,1.210107,0.800767,0.030303,1.928463,0.480558,0.815673,0.026795,1.910129,0.486149
climates,sdsa_rf_not_update,0.767037,0.035018,3.381959,0.981558,0.801695,0.027756,1.419707,0.316606,0.818646,0.029247,1.412963,0.31112
climates,sdsa_svc,0.655474,0.038543,3.143752,0.841205,0.724672,0.035126,0.647632,0.193512,0.759652,0.035121,0.633674,0.195055
climates,sdsa_svc_not_update,0.655689,0.037744,0.618288,0.14309,0.727641,0.03328,0.131748,0.031579,0.761629,0.033768,0.125202,0.030022
climates,sdsa_xgb,0.774972,0.032407,26.447853,4.761056,,,,,,,,
climates,sdsa_xgb_not_update,0.775733,0.036057,28.224764,6.352075,,,,,,,,
dataset1,ivabc,0.9975,0.009059,19.015013,9.546728,0.9975,0.009059,19.015013,9.546728,0.9975,0.009059,19.015013,9.546728
dataset1,knn,0.9585,0.032024,1.7e-05,9e-06,,,,,,,,
dataset1,sdsa,,,,,,,,,0.932,0.036425,0.070418,0.01941
dataset1,sdsa_knn,0.911,0.042391,0.215732,0.088577,,,,,0.9285,0.038439,0.112764,0.03851
dataset1,sdsa_knn_not_update,0.9125,0.041667,0.015946,0.010357,,,,,0.92675,0.038148,0.009322,0.005171
dataset1,sdsa_lr,0.96525,0.028845,16.068373,7.337778,,,,,,,,
dataset1,sdsa_lr_not_update,0.96425,0.028261,25.737141,16.608564,,,,,,,,
dataset1,sdsa_not_update,,,,,,,,,0.93075,0.036212,0.007639,0.001645
dataset1,sdsa_rf,0.90675,0.043353,0.3034,0.080089,,,,,0.913,0.041664,0.241747,0.052696
dataset1,sdsa_rf_not_update,0.90625,0.044718,0.227462,0.053936,,,,,0.9125,0.040123,0.181163,0.042003
dataset1,sdsa_svc,0.92625,0.038497,0.078635,0.031675,,,,,0.932,0.036425,0.10099,0.025851
