dataset,classifier,acc_mean,acc_std,time_mean,time_std
climates,ivabc,0.816612,0.029674,6187.475690,8380.567485
climates,sdsa,0.742745,0.031235,0.922136,0.246988
climates,sdsa_knn,0.796231,0.028939,0.634655,0.166666
climates,sdsa_knn_not_update,0.797080,0.028401,0.087566,0.037631
climates,sdsa_not_update,0.745985,0.033670,0.438126,0.088890
climates,sdsa_rf,0.815673,0.026795,1.910129,0.486149
climates,sdsa_rf_not_update,0.818646,0.029247,1.412963,0.311120
climates,sdsa_svc,0.759652,0.035121,0.633674,0.195055
climates,sdsa_svc_not_update,0.761629,0.033768,0.125202,0.030022
dataset1,ivabc,0.997500,0.009059,19.015013,9.546728
dataset1,sdsa,0.932000,0.036425,0.070418,0.019410
dataset1,sdsa_knn,0.928500,0.038439,0.112764,0.038510
dataset1,sdsa_knn_not_update,0.926750,0.038148,0.009322,0.005171
dataset1,sdsa_not_update,0.930750,0.036212,0.007639,0.001645
dataset1,sdsa_rf,0.913000,0.041664,0.241747,0.052696
dataset1,sdsa_rf_not_update,0.912500,0.040123,0.181163,0.042003
dataset1,sdsa_svc,0.932000,0.036425,0.100990,0.025851
dataset1,sdsa_svc_not_update,0.930750,0.036212,0.006835,0.001596
dataset2,ivabc,0.950429,0.024823,57.219726,23.992517
dataset2,sdsa,0.951571,0.024942,0.128707,0.036270
dataset2,sdsa_knn,0.947286,0.025336,0.178457,0.042918
dataset2,sdsa_knn_not_update,0.948429,0.025514,0.017692,0.007749
dataset2,sdsa_not_update,0.951143,0.024966,0.014905,0.003898
dataset2,sdsa_rf,0.940143,0.028259,0.449884,0.099575
dataset2,sdsa_rf_not_update,0.939714,0.028178,0.273299,0.060892
dataset2,sdsa_svc,0.951571,0.024942,0.131068,0.036207
dataset2,sdsa_svc_not_update,0.951143,0.024966,0.015385,0.003275
dataset3,ivabc,0.975429,0.017119,60.679672,29.198020
dataset3,sdsa,0.954857,0.022947,0.137069,0.039289
dataset3,sdsa_knn,0.942429,0.025235,0.187354,0.052700
dataset3,sdsa_knn_not_update,0.941857,0.026181,0.018459,0.007954
dataset3,sdsa_not_update,0.954000,0.023643,0.014223,0.003719
dataset3,sdsa_rf,0.938571,0.025884,0.429530,0.097508
dataset3,sdsa_rf_not_update,0.938429,0.027892,0.283261,0.060492
dataset3,sdsa_svc,0.954857,0.022947,0.136916,0.038347
dataset3,sdsa_svc_not_update,0.954000,0.023643,0.016358,0.002778
dataset4,ivabc,0.954143,0.027862,49.211072,25.045531
dataset4,sdsa,0.724429,0.050652,0.137850,0.039105
dataset4,sdsa_knn,0.711571,0.052349,0.189311,0.058088
dataset4,sdsa_knn_not_update,0.711857,0.052166,0.018486,0.007164
dataset4,sdsa_not_update,0.725000,0.051101,0.021261,0.005317
dataset4,sdsa_rf,0.707714,0.060453,0.492612,0.104603
dataset4,sdsa_rf_not_update,0.709143,0.058304,0.366508,0.073729
dataset4,sdsa_svc,0.724429,0.050652,0.138213,0.039182
dataset4,sdsa_svc_not_update,0.725000,0.051101,0.024533,0.005253
dry_climates,ivabc,0.943081,0.031174,2904.915570,8619.503338
dry_climates,sdsa,0.924724,0.035135,0.232124,0.068479
dry_climates,sdsa_knn,0.940218,0.030043,0.261040,0.069836
dry_climates,sdsa_knn_not_update,0.942725,0.028641,0.036153,0.015824
dry_climates,sdsa_not_update,0.922413,0.034869,0.057674,0.010451
dry_climates,sdsa_rf,0.947308,0.030509,0.443390,0.119474
dry_climates,sdsa_rf_not_update,0.947707,0.029428,0.257013,0.056519
dry_climates,sdsa_svc,0.942308,0.031994,0.208198,0.063428
dry_climates,sdsa_svc_not_update,0.942115,0.031709,0.017463,0.005060
european_climates,ivabc,0.955814,0.034165,216.689227,96.477572
european_climates,sdsa,0.941676,0.039079,0.132279,0.039212
european_climates,sdsa_knn,0.949981,0.037212,0.188899,0.066841
european_climates,sdsa_knn_not_update,0.949697,0.036330,0.019396,0.009529
european_climates,sdsa_not_update,0.946619,0.037500,0.017183,0.003045
european_climates,sdsa_rf,0.955521,0.031712,0.265512,0.072257
european_climates,sdsa_rf_not_update,0.953958,0.033620,0.149724,0.034554
european_climates,sdsa_svc,0.949309,0.034755,0.125750,0.038846
european_climates,sdsa_svc_not_update,0.947481,0.034153,0.009749,0.002218
mushroom,ivabc,0.718542,0.057827,16.180895,6.767720
mushroom,sdsa,0.619833,0.104296,0.019442,0.005138
mushroom,sdsa_knn,0.703667,0.073675,0.019732,0.004871
mushroom,sdsa_knn_not_update,0.690708,0.084231,0.001737,0.000491
mushroom,sdsa_not_update,0.596000,0.117168,0.002433,0.000582
mushroom,sdsa_rf,0.666125,0.078729,0.125421,0.032753
mushroom,sdsa_rf_not_update,0.667917,0.102753,0.109250,0.028178
mushroom,sdsa_svc,0.740000,0.008206,0.019880,0.005208
mushroom,sdsa_svc_not_update,0.740000,0.008206,0.002377,0.000634
