dataset,classifier,acc_mean,acc_std,time_mean,time_std
climates,ivabc,0.816612,0.029674,6187.475690,8380.567485
climates,knn,0.787269,0.032965,0.000065,0.000078
climates,sdsa,0.694694,0.034447,1.725049,0.316632
climates,sdsa_knn,0.720006,0.029808,2.341258,0.296153
climates,sdsa_knn_not_update,0.720995,0.030932,0.137500,0.031625
climates,sdsa_lr,0.844352,0.030171,165.774855,64.695364
climates,sdsa_lr_not_update,0.842802,0.034747,102.105154,41.843300
climates,sdsa_not_update,0.698882,0.037272,1.201718,0.424185
climates,sdsa_rf,0.765787,0.035956,4.452389,1.210107
climates,sdsa_rf_not_update,0.767037,0.035018,3.381959,0.981558
climates,sdsa_svc,0.655474,0.038543,3.143752,0.841205
climates,sdsa_svc_not_update,0.655689,0.037744,0.618288,0.143090
climates,sdsa_xgb,0.774972,0.032407,26.447853,4.761056
climates,sdsa_xgb_not_update,0.775733,0.036057,28.224764,6.352075
dataset1,ivabc,0.997500,0.009059,19.015013,9.546728
dataset1,knn,0.958500,0.032024,0.000017,0.000009
dataset1,sdsa_knn,0.911000,0.042391,0.215732,0.088577
dataset1,sdsa_knn_not_update,0.912500,0.041667,0.015946,0.010357
dataset1,sdsa_lr,0.965250,0.028845,16.068373,7.337778
dataset1,sdsa_lr_not_update,0.964250,0.028261,25.737141,16.608564
dataset1,sdsa_rf,0.906750,0.043353,0.303400,0.080089
dataset1,sdsa_rf_not_update,0.906250,0.044718,0.227462,0.053936
dataset1,sdsa_svc,0.926250,0.038497,0.078635,0.031675
dataset1,sdsa_svc_not_update,0.926250,0.038333,0.005891,0.002495
dataset1,sdsa_xgb,0.906000,0.042806,225.116849,17.841413
dataset1,sdsa_xgb_not_update,0.884750,0.047260,0.152648,0.092367
dataset2,ivabc,0.950429,0.024823,57.219726,23.992517
dataset2,knn,0.947143,0.025482,0.000016,0.000009
dataset2,sdsa_knn,0.937286,0.026310,0.303235,0.112501
dataset2,sdsa_knn_not_update,0.938286,0.025754,0.030964,0.014564
dataset2,sdsa_lr,0.949857,0.026668,45.945502,7.035841
dataset2,sdsa_lr_not_update,0.950714,0.024313,45.696615,6.688665
dataset2,sdsa_rf,0.934714,0.028805,0.538718,0.133861
dataset2,sdsa_rf_not_update,0.937143,0.030660,0.397667,0.079416
dataset2,sdsa_svc,0.947571,0.024706,0.160542,0.062886
dataset2,sdsa_svc_not_update,0.947571,0.024201,0.012984,0.005278
dataset2,sdsa_xgb,0.934143,0.026699,273.617411,17.071587
dataset2,sdsa_xgb_not_update,0.932857,0.030827,0.655073,0.271277
dataset3,ivabc,0.975429,0.017119,60.679672,29.198020
dataset3,knn,0.968429,0.018971,0.000021,0.000019
dataset3,sdsa_knn,0.948143,0.024167,0.293266,0.107124
dataset3,sdsa_knn_not_update,0.946571,0.024920,0.033634,0.016034
dataset3,sdsa_lr,0.977714,0.015238,27.510666,3.351386
dataset3,sdsa_lr_not_update,0.977143,0.015596,29.686602,5.050498
dataset3,sdsa_rf,0.947571,0.026634,0.544205,0.129665
dataset3,sdsa_rf_not_update,0.945000,0.027194,0.406528,0.083602
dataset3,sdsa_svc,0.947429,0.026309,0.161856,0.061628
dataset3,sdsa_svc_not_update,0.947857,0.026269,0.013481,0.005161
dataset3,sdsa_xgb,0.943429,0.027084,243.566601,16.397072
dataset3,sdsa_xgb_not_update,0.943000,0.026278,0.534747,0.194784
dataset4,ivabc,0.954143,0.027862,49.211072,25.045531
dataset4,knn,0.778286,0.051226,0.000018,0.000012
dataset4,sdsa_knn,0.705571,0.049274,0.200280,0.057369
dataset4,sdsa_knn_not_update,0.707714,0.048792,0.018698,0.007217
dataset4,sdsa_lr,0.905714,0.040406,98.696204,39.250458
dataset4,sdsa_lr_not_update,0.904714,0.042010,118.309122,69.233781
dataset4,sdsa_rf,0.729857,0.050928,0.523757,0.104239
dataset4,sdsa_rf_not_update,0.728571,0.047878,0.378865,0.063453
dataset4,sdsa_svc,0.726286,0.051396,0.165934,0.045149
dataset4,sdsa_svc_not_update,0.726286,0.050994,0.024789,0.007012
dataset4,sdsa_xgb,0.735714,0.051827,276.651884,12.545856
dataset4,sdsa_xgb_not_update,0.727857,0.053312,265.625177,1.639064
dry_climates,ivabc,0.943081,0.031174,2904.915570,8619.503338
dry_climates,knn,0.943291,0.029915,0.000028,0.000024
dry_climates,sdsa,0.926255,0.037231,0.797076,0.240792
dry_climates,sdsa_knn,0.944641,0.030651,0.781420,0.077975
dry_climates,sdsa_knn_not_update,0.941012,0.029981,0.055968,0.030463
dry_climates,sdsa_lr,0.950000,0.031828,15.834933,6.819595
dry_climates,sdsa_lr_not_update,0.951738,0.031911,5.361376,1.883688
dry_climates,sdsa_not_update,0.927384,0.036421,0.104988,0.028506
dry_climates,sdsa_rf,0.947123,0.029292,1.653425,0.413919
dry_climates,sdsa_rf_not_update,0.946923,0.028794,0.585602,0.168833
dry_climates,sdsa_svc,0.930047,0.036479,1.322152,0.340091
dry_climates,sdsa_svc_not_update,0.930051,0.036982,0.076554,0.013375
dry_climates,sdsa_xgb,0.952290,0.030046,1.873490,0.295154
dry_climates,sdsa_xgb_not_update,0.951313,0.031163,1.334524,0.225194
european_climates,ivabc,0.955814,0.034165,216.689227,96.477572
european_climates,knn,0.941960,0.036705,0.000022,0.000017
european_climates,sdsa,0.924025,0.039408,0.346861,0.065136
european_climates,sdsa_knn,0.935758,0.044521,0.491017,0.072655
european_climates,sdsa_knn_not_update,0.936705,0.042344,0.030328,0.008624
european_climates,sdsa_lr,0.962244,0.038767,3.724894,1.458465
european_climates,sdsa_lr_not_update,0.961638,0.036275,1.367702,0.489421
european_climates,sdsa_not_update,0.918750,0.047037,0.043602,0.010218
european_climates,sdsa_rf,0.929886,0.043296,1.264160,0.246582
european_climates,sdsa_rf_not_update,0.930492,0.045219,0.397822,0.123514
european_climates,sdsa_svc,0.941051,0.040122,0.780743,0.208622
european_climates,sdsa_svc_not_update,0.940739,0.040272,0.040408,0.008203
european_climates,sdsa_xgb,0.940350,0.042043,0.729935,0.213526
european_climates,sdsa_xgb_not_update,0.943778,0.036848,0.332266,0.183845
mushroom,ivabc,0.718542,0.057827,16.180895,6.767720
mushroom,knn,0.628250,0.077327,0.000016,0.000009
mushroom,sdsa,0.613833,0.113735,0.043277,0.009395
mushroom,sdsa_knn,0.688917,0.069973,0.101401,0.038087
mushroom,sdsa_knn_not_update,0.700542,0.091549,0.008749,0.010705
mushroom,sdsa_lr,0.725208,0.037677,0.191924,0.039938
mushroom,sdsa_lr_not_update,0.730208,0.032553,0.055096,0.014885
mushroom,sdsa_not_update,0.610042,0.111934,0.005670,0.002514
mushroom,sdsa_rf,0.660375,0.084205,0.251463,0.056411
mushroom,sdsa_rf_not_update,0.683250,0.086649,0.347641,0.102066
mushroom,sdsa_svc,0.740000,0.008206,0.094386,0.019053
mushroom,sdsa_svc_not_update,0.740000,0.008206,0.007999,0.002379
mushroom,sdsa_xgb,0.651292,0.103064,0.207680,0.111121
mushroom,sdsa_xgb_not_update,0.653708,0.105199,0.128180,0.052124
