dataset,classifier,acc_mean,acc_std,time_mean,time_std
climates,ivabc,0.816612,0.029674,6187.475690,8380.567485
climates,sdsa,0.728047,0.038718,0.943625,0.251449
climates,sdsa_knn,0.771930,0.030037,0.631752,0.155036
climates,sdsa_knn_not_update,0.772141,0.031794,0.079128,0.031272
climates,sdsa_not_update,0.725854,0.036903,0.434234,0.091267
climates,sdsa_rf,0.800767,0.030303,1.928463,0.480558
climates,sdsa_rf_not_update,0.801695,0.027756,1.419707,0.316606
climates,sdsa_svc,0.724672,0.035126,0.647632,0.193512
climates,sdsa_svc_not_update,0.727641,0.033280,0.131748,0.031579
dataset1,ivabc,0.997500,0.009059,19.015013,9.546728
dataset2,ivabc,0.950429,0.024823,57.219726,23.992517
dataset3,ivabc,0.975429,0.017119,60.679672,29.198020
dataset4,ivabc,0.954143,0.027862,49.211072,25.045531
dry-climates,ivabc,0.943081,0.031174,2904.915570,8619.503338
dry-climates,sdsa,0.912094,0.036578,0.235276,0.068277
dry-climates,sdsa_knn,0.933959,0.035814,0.269794,0.074637
dry-climates,sdsa_knn_not_update,0.934329,0.034364,0.031487,0.013877
dry-climates,sdsa_not_update,0.910940,0.035692,0.043701,0.010598
dry-climates,sdsa_rf,0.943146,0.030692,0.451057,0.120727
dry-climates,sdsa_rf_not_update,0.944467,0.027629,0.258240,0.059042
dry-climates,sdsa_svc,0.942729,0.031423,0.208147,0.062833
dry-climates,sdsa_svc_not_update,0.942921,0.032067,0.017475,0.005051
european-climates,ivabc,0.955814,0.034165,216.689227,96.477572
european-climates,sdsa,0.940672,0.040899,0.135661,0.038994
european-climates,sdsa_knn,0.958030,0.034098,0.175873,0.047992
european-climates,sdsa_knn_not_update,0.954318,0.036029,0.018710,0.007791
european-climates,sdsa_not_update,0.946600,0.039436,0.016961,0.002738
european-climates,sdsa_rf,0.956989,0.037889,0.272106,0.072858
european-climates,sdsa_rf_not_update,0.956430,0.036298,0.155766,0.035416
european-climates,sdsa_svc,0.941392,0.038451,0.126004,0.037041
european-climates,sdsa_svc_not_update,0.942926,0.038624,0.009977,0.002244
mushroom,ivabc,0.718542,0.057827,16.180895,6.767720
mushroom,sdsa,0.665250,0.117915,0.020047,0.005326
mushroom,sdsa_knn,0.675750,0.078313,0.019689,0.004713
mushroom,sdsa_knn_not_update,0.683125,0.083263,0.001403,0.000466
mushroom,sdsa_not_update,0.648292,0.113596,0.002161,0.000497
mushroom,sdsa_rf,0.720500,0.085364,0.124107,0.032830
mushroom,sdsa_rf_not_update,0.712667,0.093045,0.107596,0.027935
mushroom,sdsa_svc,0.740000,0.008206,0.019542,0.005259
mushroom,sdsa_svc_not_update,0.740000,0.008206,0.002418,0.000628
