dataset,ivabc_acc_mean,knn_acc_mean,ivabc_acc_std,knn_acc_std,ivabc_time_mean,knn_time_mean,ivabc_time_std,knn_time_std
dataset3,0.9757,0.9686,0.0151,0.025,59.1214,0.0,20.3477,0.0
european_climates,0.9415,0.9416,0.0225,0.0365,242.4759,0.0,62.0294,0.0
mushroom,0.7333,0.6283,0.0248,0.0978,15.198,0.0,5.0489,0.0
dataset2,0.95,0.9457,0.0193,0.0276,46.837,0.0,18.1629,0.0
dataset1,1.0,0.955,0.0,0.0468,15.0192,0.0002,5.0284,0.0004
dataset6,0.785,0.7975,0.0555,0.0671,23.7871,0.0,11.0133,0.0
dry_climates,0.9425,0.9425,0.0435,0.0404,429.2924,0.0,87.5394,0.0
climates,0.8127,0.7957,0.0324,0.034,7412.1816,0.0003,10111.2063,0.0007
dataset4,0.9557,0.7814,0.0256,0.0472,47.8257,0.0001,15.9947,0.0003
dataset5,0.8925,0.87,0.0409,0.0422,16.7503,0.0,2.5234,0.0
