dataset,classifier,euclidean_acc_mean,sqeuclidean_acc_mean,cityblock_acc_mean,hausdorff_acc_mean,euclidean_acc_std,sqeuclidean_acc_std,cityblock_acc_std,hausdorff_acc_std,euclidean_time_mean,sqeuclidean_time_mean,cityblock_time_mean,hausdorff_time_mean,euclidean_time_std,sqeuclidean_time_std,cityblock_time_std,hausdorff_time_std
climates,sdsa,0.7017,0.6895,0.7476,0.7238,0.0398,0.0379,0.0369,0.0381,2.7418,2.7691,2.704,2.7225,0.254,0.3401,0.3285,0.3036
climates,sdsa_svc_not_update,0.7011,0.6057,0.7867,0.7533,0.0342,0.0413,0.0312,0.0334,0.4385,0.5058,0.3716,0.3863,0.0785,0.0999,0.0817,0.0758
climates,sdsa_svc,0.7004,0.6037,0.7868,0.7508,0.035,0.0404,0.0306,0.033,2.2638,2.2434,2.2459,2.1687,0.191,0.1546,0.2102,0.1591
climates,sdsa_knn_not_update,0.7163,0.6624,0.7875,0.7671,0.033,0.0344,0.0282,0.0307,0.1437,0.1458,0.1414,0.1436,0.0307,0.0487,0.0302,0.036
climates,sdsa_lr_not_update,0.8091,0.7343,0.8701,0.8495,0.0299,0.0355,0.0271,0.0284,6.0563,5.2504,4.9988,5.2523,1.1982,1.0126,0.9973,1.1116
climates,sdsa_lr,0.806,0.7326,0.8696,0.8489,0.0309,0.0366,0.0282,0.0291,8.5574,7.1102,7.0005,7.1225,2.154,1.0591,1.1102,1.067
climates,sdsa_not_update,0.6956,0.6879,0.7524,0.7199,0.034,0.0394,0.0342,0.0351,0.9512,0.9726,0.9154,0.9443,0.1404,0.1595,0.1519,0.1662
climates,sdsa_knn,0.7136,0.6595,0.7889,0.7671,0.0333,0.0349,0.0294,0.0298,2.1676,1.936,1.9316,1.9643,0.3701,0.1376,0.1483,0.1602
climates,sdsa_xgb,0.7782,0.7694,,,0.0315,0.0354,,,24.9877,26.6298,,,4.3341,5.4726,,
dataset1,sdsa_svc,0.9222,0.9195,0.9323,0.9682,0.0392,0.0426,0.0359,0.0256,0.349,0.3328,0.3381,0.3327,0.0857,0.0784,0.0949,0.0626
dataset1,sdsa_lr_not_update,0.9335,0.9355,0.9332,0.9757,0.0375,0.0373,0.0388,0.0232,0.041,0.035,0.0413,0.0415,0.0169,0.0104,0.0146,0.0267
dataset1,sdsa,0.922,0.9207,0.9328,0.969,0.0402,0.0434,0.0365,0.0271,0.3459,0.3346,0.3288,0.3341,0.1116,0.0841,0.0815,0.0917
dataset1,sdsa_svc_not_update,0.9228,0.919,0.9315,0.969,0.0411,0.0422,0.0351,0.0264,0.0363,0.0384,0.0335,0.0315,0.0153,0.012,0.0096,0.0076
dataset1,sdsa_lr,0.934,0.9358,0.9355,0.9767,0.0379,0.0376,0.038,0.022,0.358,0.3216,0.3238,0.326,0.0883,0.0597,0.0677,0.0671
