,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,dry-climates,3,32,522,ivabc,0,0,1.0,627.5885417461395
1,dry-climates,3,32,522,ivabc,0,1,0.9056603773584906,334.9261796474457
2,dry-climates,3,32,522,ivabc,0,2,0.9245283018867925,574.0870735645294
3,dry-climates,3,32,522,ivabc,0,3,0.9245283018867925,476.50652265548706
4,dry-climates,3,32,522,ivabc,0,4,1.0,372.93673968315125
5,dry-climates,3,32,522,ivabc,0,5,0.9230769230769231,442.38409328460693
6,dry-climates,3,32,522,ivabc,0,6,0.9230769230769231,227.9037389755249
7,dry-climates,3,32,522,ivabc,0,7,0.9423076923076923,289.04377698898315
8,dry-climates,3,32,522,ivabc,0,8,0.9215686274509803,643.0762357711792
9,dry-climates,3,32,522,ivabc,0,9,0.82,417.13188648223877
