,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,dry_climates,3,32,522,ivabc,0,0,1.0,627.5885417461395
1,dry_climates,3,32,522,ivabc,0,1,0.9056603773584906,334.9261796474457
2,dry_climates,3,32,522,ivabc,0,2,0.9245283018867925,574.0870735645294
3,dry_climates,3,32,522,ivabc,0,3,0.9245283018867925,476.50652265548706
4,dry_climates,3,32,522,ivabc,0,4,1.0,372.93673968315125
5,dry_climates,3,32,522,ivabc,0,5,0.9230769230769231,442.38409328460693
6,dry_climates,3,32,522,ivabc,0,6,0.9230769230769231,227.9037389755249
7,dry_climates,3,32,522,ivabc,0,7,0.9423076923076923,289.04377698898315
8,dry_climates,3,32,522,ivabc,0,8,0.9215686274509803,643.0762357711792
9,dry_climates,3,32,522,ivabc,0,9,0.82,417.13188648223877
0,dry_climates,3,32,522,ivabc,1,0,0.9433962264150944,413.0669090747833
1,dry_climates,3,32,522,ivabc,1,1,0.9811320754716981,496.404319524765
2,dry_climates,3,32,522,ivabc,1,2,0.9433962264150944,837.7966294288635
3,dry_climates,3,32,522,ivabc,1,3,0.9622641509433962,591.2154893875122
4,dry_climates,3,32,522,ivabc,1,4,0.9811320754716981,418.9540686607361
5,dry_climates,3,32,522,ivabc,1,5,0.9230769230769231,499.4974534511566
6,dry_climates,3,32,522,ivabc,1,6,0.9615384615384616,388.44495844841003
7,dry_climates,3,32,522,ivabc,1,7,0.9615384615384616,362.1539161205292
8,dry_climates,3,32,522,ivabc,1,8,0.9607843137254902,358.2613821029663
9,dry_climates,3,32,522,ivabc,1,9,0.98,333.9080603122711
0,dry_climates,3,32,522,ivabc,2,0,0.9056603773584906,582.3828365802765
1,dry_climates,3,32,522,ivabc,2,1,0.9245283018867925,576.3175208568573
2,dry_climates,3,32,522,ivabc,2,2,0.9245283018867925,259.61761832237244
3,dry_climates,3,32,522,ivabc,2,3,1.0,318.6536228656769
4,dry_climates,3,32,522,ivabc,2,4,0.8867924528301887,627.3697628974915
5,dry_climates,3,32,522,ivabc,2,5,0.9423076923076923,734.7440366744995
6,dry_climates,3,32,522,ivabc,2,6,0.9615384615384616,361.2606735229492
7,dry_climates,3,32,522,ivabc,2,7,0.8461538461538461,464.86265206336975
8,dry_climates,3,32,522,ivabc,2,8,1.0,465.059308052063
9,dry_climates,3,32,522,ivabc,2,9,1.0,430.5552775859833
0,dry_climates,3,32,522,ivabc,3,0,0.9056603773584906,401.07844710350037
