,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,dry_climates,3,32,522,wflvq,4,0,0.8301886792452831,108.25720119476318
1,dry_climates,3,32,522,wflvq,4,1,0.7358490566037735,122.19138979911804
2,dry_climates,3,32,522,wflvq,4,2,0.8490566037735849,40.94288778305054
3,dry_climates,3,32,522,wflvq,4,3,0.8301886792452831,73.11309909820557
4,dry_climates,3,32,522,wflvq,4,4,0.8490566037735849,49.16306781768799
5,dry_climates,3,32,522,wflvq,4,5,0.9230769230769231,32.33313608169556
6,dry_climates,3,32,522,wflvq,4,6,0.9038461538461539,100.4876492023468
7,dry_climates,3,32,522,wflvq,4,7,0.8846153846153846,129.4186074733734
8,dry_climates,3,32,522,wflvq,4,8,0.9215686274509803,33.582958459854126
9,dry_climates,3,32,522,wflvq,4,9,0.86,160.08660507202148
