,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,european-climates,2,32,324,wflvq,4,0,0.9090909090909091,23.088335275650024
1,european-climates,2,32,324,wflvq,4,1,0.9696969696969697,22.968306303024292
2,european-climates,2,32,324,wflvq,4,2,0.8787878787878788,33.56046509742737
3,european-climates,2,32,324,wflvq,4,3,0.8181818181818182,54.50459885597229
4,european-climates,2,32,324,wflvq,4,4,0.9696969696969697,13.537685871124268
5,european-climates,2,32,324,wflvq,4,5,0.9090909090909091,16.597357511520386
6,european-climates,2,32,324,wflvq,4,6,0.9375,10.877155065536499
7,european-climates,2,32,324,wflvq,4,7,1.0,149.84649205207825
8,european-climates,2,32,324,wflvq,4,8,0.967741935483871,37.20689105987549
9,european-climates,2,32,324,wflvq,4,9,0.8064516129032258,35.69370126724243
