dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
mushroom,2,6,154,DecisionTree,0,0,0.5625,0.0020110607147216797
mushroom,2,6,154,DecisionTree,0,1,0.5625,0.0
mushroom,2,6,154,DecisionTree,0,2,0.5625,0.0
mushroom,2,6,154,DecisionTree,0,3,0.4375,0.0020079612731933594
mushroom,2,6,154,DecisionTree,0,4,0.6666666666666666,0.002008676528930664
mushroom,2,6,154,DecisionTree,0,5,0.6,0.002008199691772461
mushroom,2,6,154,DecisionTree,0,6,0.4,0.0017511844635009766
mushroom,2,6,154,DecisionTree,0,7,0.6666666666666666,0.0020105838775634766
mushroom,2,6,154,DecisionTree,0,8,0.6,0.0020096302032470703
mushroom,2,6,154,DecisionTree,0,9,0.6,0.0020084381103515625
mushroom,2,6,154,DecisionTree,1,0,0.5,0.0020093917846679688
mushroom,2,6,154,DecisionTree,1,1,0.625,0.0020093917846679688
mushroom,2,6,154,DecisionTree,1,2,0.625,0.0020079612731933594
mushroom,2,6,154,DecisionTree,1,3,0.6875,0.0020084381103515625
mushroom,2,6,154,DecisionTree,1,4,0.4666666666666667,0.0017511844635009766
mushroom,2,6,154,DecisionTree,1,5,0.4,0.0
mushroom,2,6,154,DecisionTree,1,6,0.6666666666666666,0.0
mushroom,2,6,154,DecisionTree,1,7,0.8,0.0
mushroom,2,6,154,DecisionTree,1,8,0.4666666666666667,0.0
mushroom,2,6,154,DecisionTree,1,9,0.6666666666666666,0.0
mushroom,2,6,154,DecisionTree,2,0,0.8125,0.0
mushroom,2,6,154,DecisionTree,2,1,0.5,0.0
mushroom,2,6,154,DecisionTree,2,2,0.625,0.016052722930908203
mushroom,2,6,154,DecisionTree,2,3,0.6875,0.0018236637115478516
mushroom,2,6,154,DecisionTree,2,4,0.6,0.0
mushroom,2,6,154,DecisionTree,2,5,0.5333333333333333,0.0
mushroom,2,6,154,DecisionTree,2,6,0.5333333333333333,0.0020084381103515625
mushroom,2,6,154,DecisionTree,2,7,0.4,0.002009153366088867
mushroom,2,6,154,DecisionTree,2,8,0.4666666666666667,0.0020084381103515625
mushroom,2,6,154,DecisionTree,2,9,0.8,0.002008199691772461
mushroom,2,6,154,DecisionTree,3,0,0.6875,0.0020089149475097656
mushroom,2,6,154,DecisionTree,3,1,0.3125,0.003400087356567383
mushroom,2,6,154,DecisionTree,3,2,0.6875,0.0027556419372558594
mushroom,2,6,154,DecisionTree,3,3,0.5,0.0023059844970703125
mushroom,2,6,154,DecisionTree,3,4,0.5333333333333333,0.0
mushroom,2,6,154,DecisionTree,3,5,0.7333333333333333,0.0
mushroom,2,6,154,DecisionTree,3,6,0.7333333333333333,0.002009153366088867
mushroom,2,6,154,DecisionTree,3,7,0.8,0.002007722854614258
mushroom,2,6,154,DecisionTree,3,8,0.6666666666666666,0.002008676528930664
mushroom,2,6,154,DecisionTree,3,9,0.4666666666666667,0.002009868621826172
mushroom,2,6,154,DecisionTree,4,0,0.625,0.0020117759704589844
mushroom,2,6,154,DecisionTree,4,1,0.625,0.002606630325317383
mushroom,2,6,154,DecisionTree,4,2,0.375,0.0018665790557861328
mushroom,2,6,154,DecisionTree,4,3,0.625,0.002008676528930664
mushroom,2,6,154,DecisionTree,4,4,0.6666666666666666,0.002009153366088867
mushroom,2,6,154,DecisionTree,4,5,0.5333333333333333,0.0020093917846679688
mushroom,2,6,154,DecisionTree,4,6,0.6666666666666666,0.002008199691772461
mushroom,2,6,154,DecisionTree,4,7,0.7333333333333333,0.0
mushroom,2,6,154,DecisionTree,4,8,0.6666666666666666,0.0
mushroom,2,6,154,DecisionTree,4,9,0.8,0.0
mushroom,2,6,154,DecisionTree,5,0,0.5625,0.008117914199829102
mushroom,2,6,154,DecisionTree,5,1,0.8125,0.0
mushroom,2,6,154,DecisionTree,5,2,0.4375,0.0
mushroom,2,6,154,DecisionTree,5,3,0.6875,0.0
mushroom,2,6,154,DecisionTree,5,4,0.6666666666666666,0.0
mushroom,2,6,154,DecisionTree,5,5,0.5333333333333333,0.0
mushroom,2,6,154,DecisionTree,5,6,0.8,0.0
mushroom,2,6,154,DecisionTree,5,7,0.7333333333333333,0.0
mushroom,2,6,154,DecisionTree,5,8,0.6666666666666666,0.0
mushroom,2,6,154,DecisionTree,5,9,0.6,0.017108917236328125
mushroom,2,6,154,DecisionTree,6,0,0.625,0.0
mushroom,2,6,154,DecisionTree,6,1,0.5,0.0
mushroom,2,6,154,DecisionTree,6,2,0.5625,0.00677800178527832
mushroom,2,6,154,DecisionTree,6,3,0.6875,0.0
mushroom,2,6,154,DecisionTree,6,4,0.6,0.0
mushroom,2,6,154,DecisionTree,6,5,0.7333333333333333,0.0
mushroom,2,6,154,DecisionTree,6,6,0.6666666666666666,0.007842779159545898
mushroom,2,6,154,DecisionTree,6,7,0.4,0.0
mushroom,2,6,154,DecisionTree,6,8,0.6,0.0
mushroom,2,6,154,DecisionTree,6,9,0.6,0.0
mushroom,2,6,154,DecisionTree,7,0,0.75,0.008257389068603516
mushroom,2,6,154,DecisionTree,7,1,0.625,0.0020132064819335938
mushroom,2,6,154,DecisionTree,7,2,0.625,0.002008676528930664
mushroom,2,6,154,DecisionTree,7,3,0.5625,0.002008199691772461
mushroom,2,6,154,DecisionTree,7,4,0.4,0.0020084381103515625
mushroom,2,6,154,DecisionTree,7,5,0.5333333333333333,0.0020117759704589844
mushroom,2,6,154,DecisionTree,7,6,0.5333333333333333,0.0
mushroom,2,6,154,DecisionTree,7,7,0.4,0.0
mushroom,2,6,154,DecisionTree,7,8,0.7333333333333333,0.0020084381103515625
mushroom,2,6,154,DecisionTree,7,9,0.4666666666666667,0.002008676528930664
mushroom,2,6,154,DecisionTree,8,0,0.75,0.0
mushroom,2,6,154,DecisionTree,8,1,0.5625,0.0
mushroom,2,6,154,DecisionTree,8,2,0.3125,0.0020084381103515625
mushroom,2,6,154,DecisionTree,8,3,0.4375,0.0015079975128173828
mushroom,2,6,154,DecisionTree,8,4,0.4,0.002010345458984375
mushroom,2,6,154,DecisionTree,8,5,0.6,0.0020084381103515625
mushroom,2,6,154,DecisionTree,8,6,0.5333333333333333,0.002009153366088867
mushroom,2,6,154,DecisionTree,8,7,0.5333333333333333,0.002008199691772461
mushroom,2,6,154,DecisionTree,8,8,0.4666666666666667,0.0020084381103515625
mushroom,2,6,154,DecisionTree,8,9,0.7333333333333333,0.0
mushroom,2,6,154,DecisionTree,9,0,0.5625,0.0020101070404052734
mushroom,2,6,154,DecisionTree,9,1,0.625,0.0017538070678710938
mushroom,2,6,154,DecisionTree,9,2,0.5625,0.0020117759704589844
mushroom,2,6,154,DecisionTree,9,3,0.75,0.0020084381103515625
mushroom,2,6,154,DecisionTree,9,4,0.6666666666666666,0.0
mushroom,2,6,154,DecisionTree,9,5,0.5333333333333333,0.0
mushroom,2,6,154,DecisionTree,9,6,0.7333333333333333,0.002008676528930664
mushroom,2,6,154,DecisionTree,9,7,0.5333333333333333,0.0020079612731933594
mushroom,2,6,154,DecisionTree,9,8,0.4,0.002008676528930664
mushroom,2,6,154,DecisionTree,9,9,0.4666666666666667,0.002008199691772461
mushroom,2,6,154,SVM,0,0,0.75,0.002010345458984375
mushroom,2,6,154,SVM,0,1,0.75,0.002008199691772461
mushroom,2,6,154,SVM,0,2,0.75,0.0037593841552734375
mushroom,2,6,154,SVM,0,3,0.75,0.01055145263671875
mushroom,2,6,154,SVM,0,4,0.7333333333333333,0.004046916961669922
mushroom,2,6,154,SVM,0,5,0.7333333333333333,0.004122257232666016
mushroom,2,6,154,SVM,0,6,0.7333333333333333,0.00392460823059082
mushroom,2,6,154,SVM,0,7,0.7333333333333333,0.004023551940917969
mushroom,2,6,154,SVM,0,8,0.7333333333333333,0.004019737243652344
mushroom,2,6,154,SVM,0,9,0.7333333333333333,0.002009153366088867
mushroom,2,6,154,SVM,1,0,0.75,0.0032567977905273438
mushroom,2,6,154,SVM,1,1,0.75,0.0020160675048828125
mushroom,2,6,154,SVM,1,2,0.75,0.0015251636505126953
mushroom,2,6,154,SVM,1,3,0.75,0.009656190872192383
mushroom,2,6,154,SVM,1,4,0.7333333333333333,0.004014015197753906
mushroom,2,6,154,SVM,1,5,0.7333333333333333,0.004016876220703125
mushroom,2,6,154,SVM,1,6,0.7333333333333333,0.0022771358489990234
mushroom,2,6,154,SVM,1,7,0.7333333333333333,0.002009153366088867
mushroom,2,6,154,SVM,1,8,0.7333333333333333,0.002010345458984375
mushroom,2,6,154,SVM,1,9,0.7333333333333333,0.0020084381103515625
mushroom,2,6,154,SVM,2,0,0.75,0.004526615142822266
mushroom,2,6,154,SVM,2,1,0.75,0.0
mushroom,2,6,154,SVM,2,2,0.75,0.0
mushroom,2,6,154,SVM,2,3,0.75,0.008018970489501953
mushroom,2,6,154,SVM,2,4,0.7333333333333333,0.0
mushroom,2,6,154,SVM,2,5,0.7333333333333333,0.008199214935302734
mushroom,2,6,154,SVM,2,6,0.7333333333333333,0.0
mushroom,2,6,154,SVM,2,7,0.7333333333333333,0.0
mushroom,2,6,154,SVM,2,8,0.7333333333333333,0.0
mushroom,2,6,154,SVM,2,9,0.7333333333333333,0.0
mushroom,2,6,154,SVM,3,0,0.75,0.017722129821777344
mushroom,2,6,154,SVM,3,1,0.75,0.004016876220703125
mushroom,2,6,154,SVM,3,2,0.75,0.002008676528930664
mushroom,2,6,154,SVM,3,3,0.75,0.002010822296142578
mushroom,2,6,154,SVM,3,4,0.7333333333333333,0.0020084381103515625
mushroom,2,6,154,SVM,3,5,0.7333333333333333,0.00201416015625
mushroom,2,6,154,SVM,3,6,0.7333333333333333,0.0040171146392822266
mushroom,2,6,154,SVM,3,7,0.7333333333333333,0.002008199691772461
mushroom,2,6,154,SVM,3,8,0.7333333333333333,0.0020084381103515625
mushroom,2,6,154,SVM,3,9,0.7333333333333333,0.0037584304809570312
mushroom,2,6,154,SVM,4,0,0.75,0.002010822296142578
mushroom,2,6,154,SVM,4,1,0.75,0.004016876220703125
mushroom,2,6,154,SVM,4,2,0.75,0.002009153366088867
mushroom,2,6,154,SVM,4,3,0.75,0.00401616096496582
mushroom,2,6,154,SVM,4,4,0.7333333333333333,0.001752614974975586
mushroom,2,6,154,SVM,4,5,0.7333333333333333,0.0020089149475097656
mushroom,2,6,154,SVM,4,6,0.7333333333333333,0.00401616096496582
mushroom,2,6,154,SVM,4,7,0.7333333333333333,0.0020089149475097656
mushroom,2,6,154,SVM,4,8,0.7333333333333333,0.0040166378021240234
mushroom,2,6,154,SVM,4,9,0.7333333333333333,0.001750946044921875
mushroom,2,6,154,SVM,5,0,0.75,0.004016876220703125
mushroom,2,6,154,SVM,5,1,0.75,0.0020084381103515625
mushroom,2,6,154,SVM,5,2,0.75,0.0020079612731933594
mushroom,2,6,154,SVM,5,3,0.75,0.002009153366088867
mushroom,2,6,154,SVM,5,4,0.7333333333333333,0.002013683319091797
mushroom,2,6,154,SVM,5,5,0.7333333333333333,0.0020079612731933594
mushroom,2,6,154,SVM,5,6,0.7333333333333333,0.0020084381103515625
mushroom,2,6,154,SVM,5,7,0.7333333333333333,0.002009153366088867
mushroom,2,6,154,SVM,5,8,0.7333333333333333,0.003758668899536133
mushroom,2,6,154,SVM,5,9,0.7333333333333333,0.0054209232330322266
mushroom,2,6,154,SVM,6,0,0.75,0.004267692565917969
mushroom,2,6,154,SVM,6,1,0.75,0.004021167755126953
mushroom,2,6,154,SVM,6,2,0.75,0.003762483596801758
mushroom,2,6,154,SVM,6,3,0.75,0.003830432891845703
mushroom,2,6,154,SVM,6,4,0.7333333333333333,0.004062652587890625
mushroom,2,6,154,SVM,6,5,0.7333333333333333,0.002028226852416992
mushroom,2,6,154,SVM,6,6,0.7333333333333333,0.00461125373840332
