dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
dataset1,2,4,400,DecisionTree,0,0,1.0,0.011560678482055664
dataset1,2,4,400,DecisionTree,0,1,1.0,0.005908966064453125
dataset1,2,4,400,DecisionTree,0,2,0.975,0.0020134449005126953
dataset1,2,4,400,DecisionTree,0,3,1.0,0.0020122528076171875
dataset1,2,4,400,DecisionTree,0,4,1.0,0.0020148754119873047
dataset1,2,4,400,DecisionTree,0,5,1.0,0.0020127296447753906
dataset1,2,4,400,DecisionTree,0,6,1.0,0.0020110607147216797
dataset1,2,4,400,DecisionTree,0,7,0.975,0.0017604827880859375
dataset1,2,4,400,DecisionTree,0,8,0.975,0.00201416015625
dataset1,2,4,400,DecisionTree,0,9,1.0,0.002013683319091797
dataset1,2,4,400,DecisionTree,1,0,0.95,0.0020182132720947266
dataset1,2,4,400,DecisionTree,1,1,1.0,0.0020139217376708984
dataset1,2,4,400,DecisionTree,1,2,0.975,0.002014636993408203
dataset1,2,4,400,DecisionTree,1,3,0.975,0.0030035972595214844
dataset1,2,4,400,DecisionTree,1,4,1.0,0.0010006427764892578
dataset1,2,4,400,DecisionTree,1,5,1.0,0.0020003318786621094
dataset1,2,4,400,DecisionTree,1,6,1.0,0.005998849868774414
dataset1,2,4,400,DecisionTree,1,7,0.975,0.002497434616088867
dataset1,2,4,400,DecisionTree,1,8,1.0,0.0020017623901367188
dataset1,2,4,400,DecisionTree,1,9,1.0,0.0010013580322265625
dataset1,2,4,400,DecisionTree,2,0,1.0,0.002002716064453125
dataset1,2,4,400,DecisionTree,2,1,0.975,0.0019996166229248047
dataset1,2,4,400,DecisionTree,2,2,1.0,0.0030002593994140625
dataset1,2,4,400,DecisionTree,2,3,0.975,0.0031480789184570312
dataset1,2,4,400,DecisionTree,2,4,1.0,0.0020155906677246094
dataset1,2,4,400,DecisionTree,2,5,1.0,0.0020139217376708984
dataset1,2,4,400,DecisionTree,2,6,0.95,0.0020155906677246094
dataset1,2,4,400,DecisionTree,2,7,1.0,0.0020143985748291016
dataset1,2,4,400,DecisionTree,2,8,1.0,0.0020127296447753906
dataset1,2,4,400,DecisionTree,2,9,0.975,0.0017559528350830078
dataset1,2,4,400,DecisionTree,3,0,1.0,0.002012014389038086
dataset1,2,4,400,DecisionTree,3,1,1.0,0.002012491226196289
dataset1,2,4,400,DecisionTree,3,2,1.0,0.0020117759704589844
dataset1,2,4,400,DecisionTree,3,3,1.0,0.002012491226196289
dataset1,2,4,400,DecisionTree,3,4,1.0,0.0020143985748291016
dataset1,2,4,400,DecisionTree,3,5,0.975,0.0017578601837158203
dataset1,2,4,400,DecisionTree,3,6,1.0,0.0040264129638671875
dataset1,2,4,400,DecisionTree,3,7,0.975,0.0020170211791992188
dataset1,2,4,400,DecisionTree,3,8,0.95,0.0020148754119873047
dataset1,2,4,400,DecisionTree,3,9,1.0,0.002008199691772461
dataset1,2,4,400,DecisionTree,4,0,1.0,0.0037703514099121094
dataset1,2,4,400,DecisionTree,4,1,1.0,0.002012491226196289
dataset1,2,4,400,DecisionTree,4,2,1.0,0.004034280776977539
dataset1,2,4,400,DecisionTree,4,3,1.0,0.047449350357055664
dataset1,2,4,400,DecisionTree,4,4,0.975,0.002012014389038086
dataset1,2,4,400,DecisionTree,4,5,0.975,0.0020134449005126953
dataset1,2,4,400,DecisionTree,4,6,1.0,0.0020139217376708984
dataset1,2,4,400,DecisionTree,4,7,0.975,0.09284448623657227
dataset1,2,4,400,DecisionTree,4,8,1.0,0.002020120620727539
dataset1,2,4,400,DecisionTree,4,9,1.0,0.0020089149475097656
dataset1,2,4,400,DecisionTree,5,0,1.0,0.0020117759704589844
dataset1,2,4,400,DecisionTree,5,1,0.975,0.006181955337524414
dataset1,2,4,400,DecisionTree,5,2,1.0,0.0019996166229248047
dataset1,2,4,400,DecisionTree,5,3,1.0,0.0019981861114501953
dataset1,2,4,400,DecisionTree,5,4,1.0,0.0020024776458740234
dataset1,2,4,400,DecisionTree,5,5,1.0,0.0019991397857666016
dataset1,2,4,400,DecisionTree,5,6,1.0,0.0020003318786621094
dataset1,2,4,400,DecisionTree,5,7,1.0,0.002667665481567383
dataset1,2,4,400,DecisionTree,5,8,1.0,0.001999378204345703
dataset1,2,4,400,DecisionTree,5,9,0.95,0.0050008296966552734
dataset1,2,4,400,DecisionTree,6,0,0.975,0.002001523971557617
dataset1,2,4,400,DecisionTree,6,1,1.0,0.0019991397857666016
dataset1,2,4,400,DecisionTree,6,2,1.0,0.0020024776458740234
dataset1,2,4,400,DecisionTree,6,3,0.975,0.0
dataset1,2,4,400,DecisionTree,6,4,1.0,0.0020134449005126953
dataset1,2,4,400,DecisionTree,6,5,1.0,0.0020110607147216797
dataset1,2,4,400,DecisionTree,6,6,1.0,0.0020122528076171875
dataset1,2,4,400,DecisionTree,6,7,0.975,0.0020110607147216797
dataset1,2,4,400,DecisionTree,6,8,1.0,0.0020110607147216797
dataset1,2,4,400,DecisionTree,6,9,1.0,0.0020132064819335938
dataset1,2,4,400,DecisionTree,7,0,0.975,0.0020105838775634766
dataset1,2,4,400,DecisionTree,7,1,1.0,0.0020093917846679688
dataset1,2,4,400,DecisionTree,7,2,1.0,0.004021883010864258
dataset1,2,4,400,DecisionTree,7,3,1.0,0.0037653446197509766
dataset1,2,4,400,DecisionTree,7,4,0.95,0.002013683319091797
dataset1,2,4,400,DecisionTree,7,5,1.0,0.002010822296142578
dataset1,2,4,400,DecisionTree,7,6,1.0,0.002010822296142578
dataset1,2,4,400,DecisionTree,7,7,0.975,0.0
dataset1,2,4,400,DecisionTree,7,8,1.0,0.002015352249145508
dataset1,2,4,400,DecisionTree,7,9,1.0,0.0020177364349365234
dataset1,2,4,400,DecisionTree,8,0,1.0,0.0020105838775634766
dataset1,2,4,400,DecisionTree,8,1,0.975,0.0020096302032470703
dataset1,2,4,400,DecisionTree,8,2,1.0,0.002007722854614258
dataset1,2,4,400,DecisionTree,8,3,1.0,0.0020096302032470703
dataset1,2,4,400,DecisionTree,8,4,1.0,0.0020112991333007812
dataset1,2,4,400,DecisionTree,8,5,1.0,0.0020117759704589844
dataset1,2,4,400,DecisionTree,8,6,1.0,0.007791757583618164
dataset1,2,4,400,DecisionTree,8,7,1.0,0.002012491226196289
dataset1,2,4,400,DecisionTree,8,8,1.0,0.0020127296447753906
dataset1,2,4,400,DecisionTree,8,9,0.975,0.002009868621826172
dataset1,2,4,400,DecisionTree,9,0,1.0,0.002009153366088867
dataset1,2,4,400,DecisionTree,9,1,1.0,0.0017523765563964844
dataset1,2,4,400,DecisionTree,9,2,1.0,0.0020089149475097656
dataset1,2,4,400,DecisionTree,9,3,0.975,0.0020089149475097656
dataset1,2,4,400,DecisionTree,9,4,0.975,0.0020110607147216797
dataset1,2,4,400,DecisionTree,9,5,1.0,0.0020127296447753906
dataset1,2,4,400,DecisionTree,9,6,1.0,0.0020105838775634766
dataset1,2,4,400,DecisionTree,9,7,1.0,0.002010345458984375
dataset1,2,4,400,DecisionTree,9,8,1.0,0.0017552375793457031
dataset1,2,4,400,DecisionTree,9,9,0.975,0.0020134449005126953
dataset1,2,4,400,SVM,0,0,0.975,0.019797086715698242
dataset1,2,4,400,SVM,0,1,1.0,0.004035472869873047
dataset1,2,4,400,SVM,0,2,0.975,0.0037713050842285156
dataset1,2,4,400,SVM,0,3,1.0,0.0791311264038086
dataset1,2,4,400,SVM,0,4,1.0,0.004019737243652344
dataset1,2,4,400,SVM,0,5,1.0,0.003995418548583984
dataset1,2,4,400,SVM,0,6,1.0,0.0039980411529541016
dataset1,2,4,400,SVM,0,7,1.0,0.0076754093170166016
dataset1,2,4,400,SVM,0,8,0.975,0.0049974918365478516
dataset1,2,4,400,SVM,0,9,0.925,0.006053447723388672
dataset1,2,4,400,SVM,1,0,0.975,0.009811162948608398
dataset1,2,4,400,SVM,1,1,1.0,0.004029512405395508
dataset1,2,4,400,SVM,1,2,1.0,0.0040302276611328125
dataset1,2,4,400,SVM,1,3,0.975,0.0037450790405273438
dataset1,2,4,400,SVM,1,4,0.975,0.0
dataset1,2,4,400,SVM,1,5,1.0,0.011235713958740234
dataset1,2,4,400,SVM,1,6,1.0,0.004150867462158203
dataset1,2,4,400,SVM,1,7,0.975,0.0
dataset1,2,4,400,SVM,1,8,1.0,0.013594865798950195
dataset1,2,4,400,SVM,1,9,0.95,0.0040225982666015625
dataset1,2,4,400,SVM,2,0,0.975,0.0
dataset1,2,4,400,SVM,2,1,1.0,0.0050351619720458984
dataset1,2,4,400,SVM,2,2,1.0,0.002009868621826172
dataset1,2,4,400,SVM,2,3,1.0,0.005615711212158203
dataset1,2,4,400,SVM,2,4,1.0,0.0
dataset1,2,4,400,SVM,2,5,0.95,0.004263162612915039
dataset1,2,4,400,SVM,2,6,0.975,0.004027366638183594
