dataset,classifier,acc_mean,acc_std
dataset1,DecisionTree,0.99125,0.01437897946674418
dataset1,KNN,0.96475,0.030379543555930293
dataset1,LogisticRegression,1.0,0.0
dataset1,RandomForest,0.98725,0.016853123680130592
dataset1,SVM,0.985,0.01628347368197326
dataset1,XGBoost,0.9902500000000001,0.014605502629855214
dataset2,DecisionTree,0.9638571428571429,0.01909679798445598
dataset2,KNN,0.9547142857142857,0.024622903229112127
dataset2,LogisticRegression,0.9291428571428572,0.03011145379347854
dataset2,RandomForest,0.97,0.020756661635907978
dataset2,SVM,0.9574285714285715,0.02297049813971483
dataset2,XGBoost,0.9718571428571429,0.020851290961864586
dataset3,DecisionTree,0.9725714285714285,0.01868485729089294
dataset3,KNN,0.9647142857142857,0.019629111023877637
dataset3,LogisticRegression,0.9985714285714287,0.0043073049225394715
dataset3,RandomForest,0.9810000000000001,0.014365577630416935
dataset3,SVM,0.9708571428571429,0.01860082034263783
dataset3,XGBoost,0.9845714285714285,0.01229742051108895
dataset4,DecisionTree,0.8690000000000001,0.04670353698527183
dataset4,KNN,0.7531428571428571,0.05236442084663976
dataset4,LogisticRegression,1.0,0.0
dataset4,RandomForest,0.8907142857142857,0.038652578842358086
dataset4,SVM,0.7497142857142858,0.049963086765803244
dataset4,XGBoost,0.9620000000000001,0.025297243440043266
